id,text,created_at,type,retweet_count,reply_count,like_count,quote_count
1899014994550730794,"@patgagnon_75 Yeah, it's ok. We have a very similar system in the UK.",2025-03-10T08:30:31+00:00,original,0,0,0,0
1897699568902377478,The US trade deficit has swelled to a record $131.4bn in January. Yikes! US companies are rushing to stockpile goods and critical parts before tariffs kick in.  What we are seeing is: → Massive pull-forward of Chinese imports → Companies doubling orders on essential components… https://t.co/4zqRF1cIbd https://t.co/X9suacedtk,2025-03-06T17:23:29+00:00,original,2,0,4,0
1897197579940905279,"Trump has followed through. He has slapped a 25% tariff on all imports from Mexico and Canada. Furthermore, he's added a 20% tax on goods from China. I put together a quick chart dump of everything I've seen recently. Enjoy! https://t.co/06Pie2aOwJ https://t.co/eZahQjXlix",2025-03-05T08:08:45+00:00,original,1,0,3,1
1897020764328747111,@XtremeMAGATexan @Mr_Andrew_Fox Battle of Britain mate! Look it up if you can read. We beat the Luftwaffe a year before you join the war. You know the bit where Hitler gave up invading Britain.,2025-03-04T20:26:09+00:00,original,0,0,9,0
1897019734048301384,"@ElliotH15131937 @Mr_Andrew_Fox Battle of Britain mate. Look up! You know, the bit where Hitler gave up invading Britain. It was a year before you started that war with Japan... or was it the other way around. Ask Trump.",2025-03-04T20:22:04+00:00,original,0,4,45,0
1896949271657586872,European defence stocks are soaring 🚀. Trump has caused a surge in defence stocks across the continent. The Stoxx Europe Aerospace &amp; Defense Index jumping an eye-popping 8% yesterday – its best day in five years!  What's driving this defense boom? → Trump hinted at pausing US… https://t.co/ZALPgRoQ4k https://t.co/gxpRxtfcHK,2025-03-04T15:42:04+00:00,original,3,0,18,4
1896548194542326137,"@LindseyGrahamSC What? They are in the middle of war. How the are they supposed to have an election if 20% of the country is being occupied by an autocratic country that your President backs. Wow, I'm blown away by your ignorance and lack of decorum and character. Shame on you.",2025-03-03T13:08:20+00:00,original,0,0,0,0
1896435546194620873,@MichaelAArouet I knows. Those Germans and the scharfes S. They need to learn to write.,2025-03-03T05:40:42+00:00,original,0,0,1,0
1895632425549459589,"Ahhh. I can't believe it. What has happen to America? Instead of backing Ukraine’s fight, leaders chose to publicly shame a courageous ally for “insufficient gratitude.”  I don't know what to think anymore. I've written an article on my thoughts about it. Have a read if you want:… https://t.co/0F9yGyKhWm https://t.co/c8ZpPJGIqw",2025-03-01T00:29:24+00:00,original,0,3,5,0
1895599419158077911,Leader of the free world https://t.co/mr5TwcBMiR,2025-02-28T22:18:14+00:00,original,0,2,12,0
1899014994550730794,"@patgagnon_75 Yeah, it's ok. We have a very similar system in the UK.",2025-03-10T08:30:31+00:00,original,0,1,0,0
1897699568902377478,The US trade deficit has swelled to a record $131.4bn in January. Yikes! US companies are rushing to stockpile goods and critical parts before tariffs kick in.  What we are seeing is: → Massive pull-forward of Chinese imports → Companies doubling orders on essential components… https://t.co/4zqRF1cIbd https://t.co/X9suacedtk,2025-03-06T17:23:29+00:00,original,2,0,4,0
1897197579940905279,"Trump has followed through. He has slapped a 25% tariff on all imports from Mexico and Canada. Furthermore, he's added a 20% tax on goods from China. I put together a quick chart dump of everything I've seen recently. Enjoy! https://t.co/06Pie2aOwJ https://t.co/eZahQjXlix",2025-03-05T08:08:45+00:00,original,1,0,3,1
1897020764328747111,@XtremeMAGATexan @Mr_Andrew_Fox Battle of Britain mate! Look it up if you can read. We beat the Luftwaffe a year before you join the war. You know the bit where Hitler gave up invading Britain.,2025-03-04T20:26:09+00:00,original,0,0,9,0
1897019734048301384,"@ElliotH15131937 @Mr_Andrew_Fox Battle of Britain mate. Look up! You know, the bit where Hitler gave up invading Britain. It was a year before you started that war with Japan... or was it the other way around. Ask Trump.",2025-03-04T20:22:04+00:00,original,0,4,45,0
1896949271657586872,European defence stocks are soaring 🚀. Trump has caused a surge in defence stocks across the continent. The Stoxx Europe Aerospace &amp; Defense Index jumping an eye-popping 8% yesterday – its best day in five years!  What's driving this defense boom? → Trump hinted at pausing US… https://t.co/ZALPgRoQ4k https://t.co/gxpRxtfcHK,2025-03-04T15:42:04+00:00,original,3,0,18,4
1896548194542326137,"@LindseyGrahamSC What? They are in the middle of war. How the are they supposed to have an election if 20% of the country is being occupied by an autocratic country that your President backs. Wow, I'm blown away by your ignorance and lack of decorum and character. Shame on you.",2025-03-03T13:08:20+00:00,original,0,0,0,0
1896435546194620873,@MichaelAArouet I knows. Those Germans and the scharfes S. They need to learn to write.,2025-03-03T05:40:42+00:00,original,0,0,1,0
1895632425549459589,"Ahhh. I can't believe it. What has happen to America? Instead of backing Ukraine’s fight, leaders chose to publicly shame a courageous ally for “insufficient gratitude.”  I don't know what to think anymore. I've written an article on my thoughts about it. Have a read if you want:… https://t.co/0F9yGyKhWm https://t.co/c8ZpPJGIqw",2025-03-01T00:29:24+00:00,original,0,3,5,0
