id,text,created_at,type,retweet_count,reply_count,like_count,quote_count
1899082036540793280,@DonPablox6 @satoshiheist @MeetAshCampbell 🙏,2025-03-10T12:56:55+00:00,original,0,1,2,0
1899079137798521041,@WillyD135 https://t.co/T3a4zr0mbi,2025-03-10T12:45:24+00:00,original,0,1,2,0
1899078576705507826,"@Bohemoth 100,000%",2025-03-10T12:43:10+00:00,original,0,0,4,0
1899078477795475480,@r_Zilve Nothing has changed. Its the same as the last update... evewn the price hasnt changed.,2025-03-10T12:42:46+00:00,original,0,2,14,1
1899076947390382288,@satoshiheist @MeetAshCampbell See my X feed. I called this airpocket out last year,2025-03-10T12:36:42+00:00,original,1,2,7,0
1899074743216505204,"We are still early in the business cycle (using ISM) and as the ISM rises this year and into next year, crypto will rise with it.  Patience and less drama please! You know the #DFTU rules. https://t.co/sRwr3Jnx4d",2025-03-10T12:27:56+00:00,original,25,19,512,0
1899074741220069563,"Over time, we just keep climbing the log regression channel. Whether we stay at the man (red) or climb above it by another standard deviation or two remains to be seen as the cycle develops. https://t.co/h5WszZzCit",2025-03-10T12:27:56+00:00,original,16,3,348,1
1899074738867069018,We had the exact same correction in 2017 caused by the same reaction to Trump policies (higher dollar and higher rates which then reversed). 2/ https://t.co/yu4atI1Eg4,2025-03-10T12:27:55+00:00,original,13,4,292,0
1899074736899997967,This too shall pass...  Crypto is still feeling the tightening in liquidity from the stronger dollar and higher rates in Q4 2024. That is almost done and financial conditions are easing fast and M2 is headed back to new highs.  This is just a regular correction... 1/ https://t.co/P2XH4h50nF,2025-03-10T12:27:55+00:00,original,249,90,1702,15
1898926283091833195,Full update https://t.co/qVYaNtEyTZ,2025-03-10T02:38:00+00:00,original,11,14,117,1
