id,text,created_at,type,retweet_count,reply_count,like_count,quote_count
1899115780010029489,"The market is still under selling pressure. Some measures of sentiment are showing signs of fear, but there are still readings that need to improve before a reliable bottom can be established. I'm still holding my $SPY short from 2/24. As of today, it's almost a 6R profit.… https://t.co/TqDkqzXCBq https://t.co/sJcu94trZX https://t.co/gxHp0nrBVR",2025-03-10T15:11:00+00:00,quote,127,32,1191,10
1898054183636676925,"The major indexes are oversold and could certainly rally any day. Some of the largest up days can occur during corrections and bear markets. But the market is still fragile, risk is high, and volatility is likely to remain elevated. The Russell 2000 has been the hardest hit of… https://t.co/hDlOq74zeB",2025-03-07T16:52:36+00:00,original,274,99,2518,33
1897847781697393012,@ChileTrades All Wayne Dyer books are great.,2025-03-07T03:12:26+00:00,original,1,4,11,0
1897693839558689174,"@Swing_Positive @ianbate23 It's really something, isn't it?",2025-03-06T17:00:43+00:00,original,0,0,8,0
1897680936830931185,@sam142582 Good point,2025-03-06T16:09:27+00:00,original,0,1,27,0
1897676614307053794,"CORRECTION!!  Typo... I shorted the $SPY on Feb. 24, not Feb 12. https://t.co/IyJJ2h2dku",2025-03-06T15:52:16+00:00,quote,28,19,302,1
1897675700661858377,@bartbaileybump https://t.co/sVLCp4mDnQ,2025-03-06T15:48:38+00:00,quote,0,0,9,0
1897672926888882597,"Just did a quick video on a couple of the reasons I'm cautious on the market here and why I have not yet covered my $SPY short. With that said, cycle work shows a strong tendency to rally starting sometime in April/May. We are likely looking at a cyclical decline within an… https://t.co/Mt6PL5kNTm https://t.co/MtiB3Gtj44",2025-03-06T15:37:37+00:00,original,220,92,1970,20
1897660506392911922,@LiLi95929867847 The long term model does NOT represent my personal exposure. It's a allocation model provided to our clients. I AM SHORT the $SPY since 2/12.,2025-03-06T14:48:16+00:00,original,1,3,17,0
1897659995715461551,@hiitsgustavo No!  I'm almost all cash.,2025-03-06T14:46:14+00:00,original,1,1,20,0
1897659006535008546,"As you know, I have been short the $SPY since Feb. 12.  No, I have NOT yet covered the short.   My long term $SPY model has remained bullish on a buy signal since Jan 13, 2023. Yesterday, it raised some cash, moving from 100% to 66% invested, 33% cash. https://t.co/N1o3xqTmF0",2025-03-06T14:42:18+00:00,original,58,37,717,10
1897438244305854522,"@john_j_burkhead Best wishes, my friend.",2025-03-06T00:05:04+00:00,original,0,2,9,0
1897375399090540965,"@im_gs_shekhawat 🙂 I'm Buddhist. I've read it many times, along with many other spiritual scriptures. Thank you. Love and blessings to you. 😇❤️🙏",2025-03-05T19:55:21+00:00,original,0,4,54,0
1897374195300098415,"@anishsikri Yes, you were there! Thank you. How blessed I am to have had over 1000 friends and family attend my birthday. It was sureal.",2025-03-05T19:50:34+00:00,original,0,0,14,0
1897371612418289796,@DollTV Watch the video. The band is Double Vision.,2025-03-05T19:40:18+00:00,original,0,3,8,0
1897370618452172911,"At my 60th birthday party on January 19th, I had the honor and pleasure to play drums with a great bunch of musicians.  Up to that day, I had not only never played or practiced with these guys, I never even met them.  So, the question I have been asked over and over is, ""How did… https://t.co/b8h1vq2hd1",2025-03-05T19:36:21+00:00,original,22,32,568,1
1897280251367182398,"I can't guarantee that everyone who learns from me will become a trading champion, but I can guarantee that everyone will get the correct knowledge and training to do so. The best way to become a champion... is to learn from one.  https://t.co/7NiHKuQ8rL https://t.co/3Ant4zdI8l",2025-03-05T13:37:16+00:00,quote,23,21,426,1
1897278117670215958,@ScottGa25476858 I don't explain... I teach and learn by speaking the truth.,2025-03-05T13:28:47+00:00,original,0,0,20,0
1897277475836891334,@Xman628797 You don't have to sacrifice goodness to be rich or sacrifice being rich to be good.  A rich man who is rich from being great has no problem getting into heaven.,2025-03-05T13:26:14+00:00,original,0,0,14,0
1897276343991328920,"The more exceptional you are, the more you will attract opportunity and the potential for riches. If you want money, make greatness your goal... not money itself.  Money is a natural byproduct of exceptionalism. https://t.co/53DMDtVET3",2025-03-05T13:21:44+00:00,quote,58,16,872,3
1897146666962313390,Lol!  He deleted his account! https://t.co/0WSwxn338Z,2025-03-05T04:46:27+00:00,original,4,32,402,0
1897068855304052882,@Scott35262257 🙏,2025-03-04T23:37:15+00:00,original,1,1,8,0
1897013804334244191,"It also feels good to learn from a mistake and come back stronger with new knowledge and a confidence that you figured it out and earned that badge.  Some of the greatest lessons in my life where, at the time, my darkest moments. https://t.co/QawBrYf56f",2025-03-04T19:58:30+00:00,quote,39,20,583,3
1897013282852180280,@guy_drive Right or wrong... I post it so the world can see what I am saying and learn. THAT is the goal... to contribute. I'm sorry if you don't like my process or my response. But this is MY feed.,2025-03-04T19:56:26+00:00,original,0,2,29,0
1897002460394541329,"@guy_drive Lol!  Show me one word in my post where I said money isn't ""important.""  You made up your own narrative from your own negative mind. I said money isn't worthy of love. Maybe you should also learn how to read!",2025-03-04T19:13:25+00:00,original,0,3,17,0
1897001790991646812,"Uhhh.. excuse me!  I was as dirt poor as one could imagine with nothing more than an 8th grade education and a dream. I grew up with terrible role models and violence all around me. My parents divorced when I was a small child, and at times, my mother couldn't even afford food.… https://t.co/ZVYDHyr9gM https://t.co/0UoLKsir3c",2025-03-04T19:10:46+00:00,quote,23,30,609,2
1896998652373279170,@guy_drive And who said I was talking to poor people?,2025-03-04T18:58:17+00:00,original,0,2,8,0
1896998311401546140,@guy_drive Uhh.. excuse me!  I was as dirt poor as one could imagine with nothing more than an 8th grade education and a dream. Do your homework before you run your mouth.,2025-03-04T18:56:56+00:00,original,1,1,39,0
1896996792866365882,"Money is not evil... the love of money is. Love people, love God, love the good you can do with money. Money itself is not worthy of love... people are. https://t.co/lKskRvCEQ0",2025-03-04T18:50:54+00:00,original,119,42,1317,12
1896939920499110037,The market is under selling pressure and is doing exactly what I expected. Volatility is rising and that means risk is high. We have not yet covered our $SPY short position initiated on 2/24. https://t.co/3yBafBUVhI,2025-03-04T15:04:55+00:00,quote,42,20,596,7
1896580468729938316,"Cycle work suggests continued weakness heading into early April before rallying into the Summer. The long-term trend remains intact; our $SPY Advisor Model has yet to trigger a sell signal. However, it's starting to look like a potential bubble could be in the making (although… https://t.co/6Tx1u90gmT https://t.co/eSyOMsY3fe",2025-03-03T15:16:35+00:00,original,262,60,1953,17
1896266609972654547,@mbnate 718 cayman,2025-03-02T18:29:25+00:00,original,0,0,9,0
1896266373837537334,@musky_ken No way!  I still shoot.,2025-03-02T18:28:29+00:00,original,0,0,10,0
1896217010826318189,The GT4RS Clubsport growels like a tiger. What a sound! https://t.co/s83S8hs9Tr,2025-03-02T15:12:20+00:00,original,4,14,247,0
1896169082778784099,@____MP_____ Yes,2025-03-02T12:01:53+00:00,original,0,4,18,0
1896165084453614064,"Heading home after a weekend of racing at the Porsche Club of America event in Kershaw, SC. https://t.co/R10cv2I8RS",2025-03-02T11:45:59+00:00,original,9,21,482,0
1895435195689709648,@william9in I'm not on telegram,2025-02-28T11:25:40+00:00,original,0,0,9,0
1895223665291337825,"Our $SPY short is doing well, but the real carnage is in the Nasdaq, which is now only about 1% above its 200-day line. Volatility is picking up and few stocks are in buyable position. Until we see accumulation without intervening distribution AND a proliferation of stock setups,… https://t.co/rdtq2Ad9PL https://t.co/3yBafBUVhI",2025-02-27T21:25:08+00:00,quote,82,41,964,11
1894977549098164467,@mark_higson2010 You can do it!,2025-02-27T05:07:09+00:00,original,0,0,10,0
