id,created_at,full_text,media,screen_name,name,profile_image_url,in_reply_to,retweeted_status,quoted_status,favorite_count,retweet_count,bookmark_count,quote_count,reply_count,views_count,favorited,retweeted,bookmarked,url
"1855256851094335645","2024-11-09 22:31:16 +08:00","Grab a free copy of my accounting infographic ebook: \n\n→ https://t.co/VlMx2NTlC1 https://t.co/8q9tlcbPFi","[{""type"":""photo"",""url"":""https://t.co/8q9tlcbPFi"",""thumbnail"":""https://pbs.twimg.com/media/Gb8yRcKWMAAQwN_?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/Gb8yRcKWMAAQwN_?format=jpg&name=orig""}]","BrianFeroldi","Brian Feroldi","https://pbs.twimg.com/profile_images/1758167079843172352/I87PB0PH_normal.jpg","1855054888096420125","null","null",9,1,2,0,4,15765,false,false,false,"https://twitter.com/BrianFeroldi/status/1855256851094335645"
"1855313317214003621","2024-11-10 02:15:39 +08:00","I've made this mistake: https://t.co/Ns6EHUKnEA","[{""type"":""photo"",""url"":""https://t.co/Ns6EHUKnEA"",""thumbnail"":""https://pbs.twimg.com/media/Gb9loQJXAAA9XtW?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/Gb9loQJXAAA9XtW?format=jpg&name=orig""}]","BrianFeroldi","Brian Feroldi","https://pbs.twimg.com/profile_images/1758167079843172352/I87PB0PH_normal.jpg","null","null","null",157,18,49,2,13,35507,false,false,false,"https://twitter.com/BrianFeroldi/status/1855313317214003621"
"1855490939743002646","2024-11-10 14:01:28 +08:00","Want an eBook of my most popular accounting infographics?\n\nGrab it here (free): → https://t.co/VlMx2NTlC1 https://t.co/VZmZjkb67m","[{""type"":""photo"",""url"":""https://t.co/VZmZjkb67m"",""thumbnail"":""https://pbs.twimg.com/media/GcAHLOUWkAADaAk?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/GcAHLOUWkAADaAk?format=jpg&name=orig""}]","BrianFeroldi","Brian Feroldi","https://pbs.twimg.com/profile_images/1758167079843172352/I87PB0PH_normal.jpg","1855416255596974444","null","null",5,0,3,0,0,17855,false,false,false,"https://twitter.com/BrianFeroldi/status/1855490939743002646"
"1855664537866784800","2024-11-11 01:31:17 +08:00","@BojanRadojici10 Like this image? You'll love my accounting infographic ebook.\n\nGet your free copy here: https://t.co/VlMx2NTlC1 https://t.co/F6kxIU6r1U","[{""type"":""photo"",""url"":""https://t.co/F6kxIU6r1U"",""thumbnail"":""https://pbs.twimg.com/media/GcClD-DXsAEQUDl?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/GcClD-DXsAEQUDl?format=jpg&name=orig""}]","BrianFeroldi","Brian Feroldi","https://pbs.twimg.com/profile_images/1758167079843172352/I87PB0PH_normal.jpg","1855612297940730123","null","null",3,2,3,0,2,16163,false,false,false,"https://twitter.com/BrianFeroldi/status/1855664537866784800"
"1855792938225107266","2024-11-11 10:01:30 +08:00","Want an eBook of my most popular accounting infographics?\n\nGrab it here (free): → https://t.co/VlMx2NTlC1 https://t.co/owGxj1yYoE","[{""type"":""photo"",""url"":""https://t.co/owGxj1yYoE"",""thumbnail"":""https://pbs.twimg.com/media/GcEZ10CWQAAUdzr?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/GcEZ10CWQAAUdzr?format=jpg&name=orig""}]","BrianFeroldi","Brian Feroldi","https://pbs.twimg.com/profile_images/1758167079843172352/I87PB0PH_normal.jpg","1855581372544422150","null","null",10,0,2,0,0,19331,false,false,false,"https://twitter.com/BrianFeroldi/status/1855792938225107266"
"1855974717259448802","2024-11-11 22:03:49 +08:00","The big picture, 2023 edition.\n\nSuch an outstanding visual: https://t.co/TYRn756zse","[{""type"":""photo"",""url"":""https://t.co/TYRn756zse"",""thumbnail"":""https://pbs.twimg.com/media/GcG_KxLXsAAt85Q?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/GcG_KxLXsAAt85Q?format=jpg&name=orig"",""ext_alt_text"":""2023 Big Picture""}]","BrianFeroldi","Brian Feroldi","https://pbs.twimg.com/profile_images/1758167079843172352/I87PB0PH_normal.jpg","null","null","null",461,86,458,4,4,109668,false,false,false,"https://twitter.com/BrianFeroldi/status/1855974717259448802"
"1856117520714920071","2024-11-12 07:31:16 +08:00","I teach investors how to analyze businesses.\n\nGrab a free copy of my accounting infographic ebook here: https://t.co/VlMx2NTlC1 https://t.co/BdE2ledLiG","[{""type"":""photo"",""url"":""https://t.co/BdE2ledLiG"",""thumbnail"":""https://pbs.twimg.com/media/GcJBDF3XMAAPew5?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/GcJBDF3XMAAPew5?format=jpg&name=orig""}]","BrianFeroldi","Brian Feroldi","https://pbs.twimg.com/profile_images/1758167079843172352/I87PB0PH_normal.jpg","1855944241169711263","null","null",10,0,4,0,0,16195,false,false,false,"https://twitter.com/BrianFeroldi/status/1856117520714920071"
"1856200619867992331","2024-11-12 13:01:28 +08:00","Like this image? You'll love my accounting infographic ebook.\n\nGet your free copy here: https://t.co/VlMx2NTlC1 https://t.co/HfQXdE4eTG","[{""type"":""photo"",""url"":""https://t.co/HfQXdE4eTG"",""thumbnail"":""https://pbs.twimg.com/media/GcKMoHSXgAAHBTx?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/GcKMoHSXgAAHBTx?format=jpg&name=orig""}]","BrianFeroldi","Brian Feroldi","https://pbs.twimg.com/profile_images/1758167079843172352/I87PB0PH_normal.jpg","1855974717259448802","null","null",10,0,1,0,3,17784,false,false,false,"https://twitter.com/BrianFeroldi/status/1856200619867992331"
"1856312647290941574","2024-11-12 20:26:38 +08:00","Balance Sheet Yellow Flags: https://t.co/5e18MKmN2y","[{""type"":""video"",""url"":""https://t.co/5e18MKmN2y"",""thumbnail"":""https://pbs.twimg.com/ext_tw_video_thumb/1856312344894132226/pu/img/VKquvOCr12dY-9PL.jpg?name=thumb"",""original"":""https://video.twimg.com/ext_tw_video/1856312344894132226/pu/vid/avc1/720x1280/yRIJzKSnI1avj50V.mp4?tag=12""}]","BrianFeroldi","Brian Feroldi","https://pbs.twimg.com/profile_images/1758167079843172352/I87PB0PH_normal.jpg","null","null","null",178,25,128,2,9,21995,false,false,false,"https://twitter.com/BrianFeroldi/status/1856312647290941574"
"1856593190729724159","2024-11-13 15:01:25 +08:00","Like this image? You'll love my accounting infographic ebook.\n\nGet your free copy here: https://t.co/VlMx2NTTrz https://t.co/XH5yeq14us","[{""type"":""photo"",""url"":""https://t.co/XH5yeq14us"",""thumbnail"":""https://pbs.twimg.com/media/GcPxqu2WkAE9y3v?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/GcPxqu2WkAE9y3v?format=jpg&name=orig""}]","BrianFeroldi","Brian Feroldi","https://pbs.twimg.com/profile_images/1758167079843172352/I87PB0PH_normal.jpg","1856339849852145956","null","null",11,1,1,0,1,15659,false,false,false,"https://twitter.com/BrianFeroldi/status/1856593190729724159"
"1856662804184396122","2024-11-13 19:38:02 +08:00","Structure of Cash Flows explained in 56 seconds: https://t.co/ogl43hRlC2","[{""type"":""video"",""url"":""https://t.co/ogl43hRlC2"",""thumbnail"":""https://pbs.twimg.com/ext_tw_video_thumb/1856661989960925184/pu/img/cilMjT-HYE-L6m2L.jpg?name=thumb"",""original"":""https://video.twimg.com/ext_tw_video/1856661989960925184/pu/vid/avc1/720x1280/cYNd7r6TJAjkDJDr.mp4?tag=12""}]","BrianFeroldi","Brian Feroldi","https://pbs.twimg.com/profile_images/1758167079843172352/I87PB0PH_normal.jpg","null","null","null",271,49,247,1,6,22429,false,false,false,"https://twitter.com/BrianFeroldi/status/1856662804184396122"
"1856955647780135045","2024-11-14 15:01:41 +08:00","Like this image? You'll love my accounting infographic ebook.\n\nGet your free copy here: https://t.co/VlMx2NTlC1 https://t.co/yK3PP6R7UM","[{""type"":""photo"",""url"":""https://t.co/yK3PP6R7UM"",""thumbnail"":""https://pbs.twimg.com/media/GcU7UgYWUAAXaeC?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/GcU7UgYWUAAXaeC?format=jpg&name=orig""}]","BrianFeroldi","Brian Feroldi","https://pbs.twimg.com/profile_images/1758167079843172352/I87PB0PH_normal.jpg","1856822570181419400","null","null",5,1,3,0,1,15089,false,false,false,"https://twitter.com/BrianFeroldi/status/1856955647780135045"
