id,created_at,full_text,media,screen_name,name,profile_image_url,in_reply_to,retweeted_status,quoted_status,favorite_count,retweet_count,bookmark_count,quote_count,reply_count,views_count,favorited,retweeted,bookmarked,url
"1822470896503628063","2024-08-11 11:11:36 +08:00","If you lack discipline, remember this:\n\nStep by step, brick by brick. Just keep going. \n\nNothing good comes easily, and good things take time. https://t.co/FRMnQRWLOZ","[{""type"":""photo"",""url"":""https://t.co/FRMnQRWLOZ"",""thumbnail"":""https://pbs.twimg.com/media/GUq2EKmXgAATJ1m?format=png&name=thumb"",""original"":""https://pbs.twimg.com/media/GUq2EKmXgAATJ1m?format=png&name=orig""}]","FluentInFinance","Andrew Lokenauth | TheFinanceNewsletter.com","https://pbs.twimg.com/profile_images/1747282104990175232/DSMtFE0E_normal.jpg","null","null","null",490,85,166,3,13,73696,false,false,false,"https://twitter.com/FluentInFinance/status/1822470896503628063"
"1822639970630205585","2024-08-11 22:23:26 +08:00","Never allow a job to steal your life.\n\nJob security is an illusion.\n\nLayoffs this year:\n\nUPS: 12,000\nMeta: 11,000\nFedEx: 12,000\nGoogle: 12,000\nAmazon: 27,000 \nWalmart: 12,000\nCitigroup: 20,000\nMicrosoft: 10,000 \n\nLearning a higher-paying skill while working your current job is one of the smartest things you can do.\n\nJob hopping every 2-3 years is one of the best life hacks.\n\nNever feel guilty about leaving your job for a better opportunity.","[]","FluentInFinance","Andrew Lokenauth | TheFinanceNewsletter.com","https://pbs.twimg.com/profile_images/1747282104990175232/DSMtFE0E_normal.jpg","null","null","null",866,125,165,9,21,80220,false,false,false,"https://twitter.com/FluentInFinance/status/1822639970630205585"
"1822680266734739929","2024-08-12 01:03:34 +08:00","The book ""Rich Dad Poor Dad"" is filled with terrible advice.\n\nOutside of some basic, regurgitated financial advice, the rest is legitimately bad.\n\nHere are Robert Kiyosaki's worst pieces of advice you need to ignore:","[]","FluentInFinance","Andrew Lokenauth | TheFinanceNewsletter.com","https://pbs.twimg.com/profile_images/1747282104990175232/DSMtFE0E_normal.jpg","null","null","null",1661,129,1277,23,133,1359695,false,false,false,"https://twitter.com/FluentInFinance/status/1822680266734739929"
"1822680271541452872","2024-08-12 01:03:35 +08:00","3. Penny Stocks and IPOs:\n\nHe suggests investing in penny stocks and IPOs, claiming huge profits. \n\nThis is risky and not suitable for most people. \n\nPenny stocks are volatile and can lead to significant losses for the average person.\n\n4. Flipping Foreclosed Houses:\n\nHe recommends buying and flipping foreclosed houses. \n\nThis requires significant knowledge, time, and capital, making it impractical for the average person.","[]","FluentInFinance","Andrew Lokenauth | TheFinanceNewsletter.com","https://pbs.twimg.com/profile_images/1747282104990175232/DSMtFE0E_normal.jpg","1822680269549117771","null","null",113,2,13,1,5,113807,false,false,false,"https://twitter.com/FluentInFinance/status/1822680271541452872"
"1822680273471037550","2024-08-12 01:03:35 +08:00","He also seems to have a low opinion of poor people, acting like they're all dumb and that's why they're not rich.\n\nThis book will most likely cause average people to lose their money on get-rich-quick schemes instead of proven strategies like:\n\n• Maxing out 401(k)s and IRAs\n• Living below your means to invest more\n• Automating monthly investments in index funds","[]","FluentInFinance","Andrew Lokenauth | TheFinanceNewsletter.com","https://pbs.twimg.com/profile_images/1747282104990175232/DSMtFE0E_normal.jpg","1822680271541452872","null","null",211,11,56,3,12,111351,false,false,false,"https://twitter.com/FluentInFinance/status/1822680273471037550"
"1822680275501174858","2024-08-12 01:03:36 +08:00","There are much better books out there. \n\nSome great ones are:\n\n1. ""The Bogleheads' Guide to Investing"" by Taylor Larimore, Mel Lindauer, and Michael LeBoeuf\n\n2. ""The Millionaire Next Door"" by Thomas J. Stanley and William D. Danko\n\n3. ""A Random Walk Down Wall Street"" by Burton G. Malkiel\n\nHave you read Rich Dad, Poor Dad? \n\nWhat did you think of the book?","[]","FluentInFinance","Andrew Lokenauth | TheFinanceNewsletter.com","https://pbs.twimg.com/profile_images/1747282104990175232/DSMtFE0E_normal.jpg","1822680273471037550","null","null",568,37,993,2,62,105023,false,false,false,"https://twitter.com/FluentInFinance/status/1822680275501174858"
"1822744112073953544","2024-08-12 05:17:15 +08:00","Roth IRAs can make you a tax-free millionaire. \n\nIt's the ultimate tax loophole but over 90% of Americans don't have one.\n\nHere is everything you should know about Roth IRAs:","[]","FluentInFinance","Andrew Lokenauth | TheFinanceNewsletter.com","https://pbs.twimg.com/profile_images/1747282104990175232/DSMtFE0E_normal.jpg","null","null","null",4194,332,5496,21,26,1518973,false,false,false,"https://twitter.com/FluentInFinance/status/1822744112073953544"
"1822744123482546677","2024-08-12 05:17:18 +08:00","Popular Rotha IRA Index Funds:\n\n$VOO: exposure to the S&amp;P 500, 500 large-cap U.S. companies\n\n$VTI: exposure to the entire U.S. stock market, including both large and small-cap companies\n\n$QQQ: exposure to the NASDAQ-100, 100 large-cap and tech-focused companies","[]","FluentInFinance","Andrew Lokenauth | TheFinanceNewsletter.com","https://pbs.twimg.com/profile_images/1747282104990175232/DSMtFE0E_normal.jpg","1822744121577984359","null","null",173,18,158,0,7,46639,false,false,false,"https://twitter.com/FluentInFinance/status/1822744123482546677"
"1822744125609009309","2024-08-12 05:17:19 +08:00","A ROTH IRA is a powerful tool for retirement that can make you a tax-free millionaire. \n\nIf you found this thread helpful, please:\n\n• Share this post to help others\n• Follow me @FluentInFinance\n• Sign-up for my newsletter to learn more about money at https://t.co/kY4KX3qzLX!","[]","FluentInFinance","Andrew Lokenauth | TheFinanceNewsletter.com","https://pbs.twimg.com/profile_images/1747282104990175232/DSMtFE0E_normal.jpg","1822744123482546677","null","null",39,7,42,0,3,41280,false,false,false,"https://twitter.com/FluentInFinance/status/1822744125609009309"
"1822781820292739367","2024-08-12 07:47:06 +08:00","“If you don’t find a way to make money while you sleep you will work until you die.”\n\n— Warren Buffett https://t.co/pFLnayMFc6","[{""type"":""photo"",""url"":""https://t.co/pFLnayMFc6"",""thumbnail"":""https://pbs.twimg.com/media/GUvSZLXXIAAS-Dk?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/GUvSZLXXIAAS-Dk?format=jpg&name=orig""}]","FluentInFinance","Andrew Lokenauth | TheFinanceNewsletter.com","https://pbs.twimg.com/profile_images/1747282104990175232/DSMtFE0E_normal.jpg","null","null","null",546,80,82,1,27,51136,false,false,false,"https://twitter.com/FluentInFinance/status/1822781820292739367"
"1822800481590153405","2024-08-12 09:01:15 +08:00","Top Cities people are moving to:\n\n1. Phoenix, AZ\n2. Dallas, TX\n3. Austin, TX\n4. Denver, CO\n5. Charlotte, NC\n6. Las Vegas, NV\n7. Tampa, FL\n\nTop Cities people are moving from:\n\n1. New York City, NY\n2. Los Angeles, CA\n3. Chicago, IL\n4. Washington, D.C.\n5. San Francisco, CA\n6. Seattle, WA\n7. Boston, MA\n\nWould you live in any of these Cities?","[]","FluentInFinance","Andrew Lokenauth | TheFinanceNewsletter.com","https://pbs.twimg.com/profile_images/1747282104990175232/DSMtFE0E_normal.jpg","null","null","null",15513,1502,3331,1279,974,3502449,false,false,false,"https://twitter.com/FluentInFinance/status/1822800481590153405"
