id,created_at,full_text,media,screen_name,name,profile_image_url,in_reply_to,retweeted_status,quoted_status,favorite_count,retweet_count,bookmark_count,quote_count,reply_count,views_count,favorited,retweeted,bookmarked,url
"1801201897585393672","2024-06-13 18:36:11 +08:00","We are up to 237 multi-baggers profiled since inception. \n\nWe are a true community of microcap stock pickers and always looking to add talent to the membership. If you are passionate about microcap investing apply and join. \n\nhttps://t.co/cbRvL6uvgQ","[]","iancassel","Ian Cassel","https://pbs.twimg.com/profile_images/1097867495795580928/StA4BEoF_normal.png","null","null","null",191,13,68,2,31,110358,false,false,false,"https://twitter.com/iancassel/status/1801201897585393672"
"1818994752433291340","2024-08-01 20:58:38 +08:00","Day 1 - MicroCap Leadership Summit \n\n200 burpees in your hotel room as the sun rises. Let’s get after it. \n\nI’ll tweet some pics throughout the day. \n@MicroCapClub https://t.co/UAFcRq8Mfb","[{""type"":""photo"",""url"":""https://t.co/UAFcRq8Mfb"",""thumbnail"":""https://pbs.twimg.com/media/GT5eEchXAAENwUf?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/GT5eEchXAAENwUf?format=jpg&name=orig""}]","iancassel","Ian Cassel","https://pbs.twimg.com/profile_images/1097867495795580928/StA4BEoF_normal.png","null","null","null",176,7,23,0,15,114773,false,false,false,"https://twitter.com/iancassel/status/1818994752433291340"
"1819537055304896779","2024-08-03 08:53:34 +08:00","@kingdomcapadv @eriksen_tim The gold vein https://t.co/PUp0RYiERM","[{""type"":""photo"",""url"":""https://t.co/PUp0RYiERM"",""thumbnail"":""https://pbs.twimg.com/media/GUBLOM-b0AEK82_?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/GUBLOM-b0AEK82_?format=jpg&name=orig""}]","iancassel","Ian Cassel","https://pbs.twimg.com/profile_images/1097867495795580928/StA4BEoF_normal.png","1819520247508136184","null","null",22,0,0,0,3,8454,false,false,false,"https://twitter.com/iancassel/status/1819537055304896779"
"1819581991266001221","2024-08-03 11:52:07 +08:00","@kingdomcapadv @eriksen_tim Dinner cruise https://t.co/4sZHTiOLZk","[{""type"":""photo"",""url"":""https://t.co/4sZHTiOLZk"",""thumbnail"":""https://pbs.twimg.com/media/GUB0J_lbgAAsb7C?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/GUB0J_lbgAAsb7C?format=jpg&name=orig""}]","iancassel","Ian Cassel","https://pbs.twimg.com/profile_images/1097867495795580928/StA4BEoF_normal.png","1819537055304896779","null","null",19,0,1,0,1,9935,false,false,false,"https://twitter.com/iancassel/status/1819581991266001221"
"1819582823612940650","2024-08-03 11:55:26 +08:00","https://t.co/IbPuuesZJu","[{""type"":""photo"",""url"":""https://t.co/IbPuuesZJu"",""thumbnail"":""https://pbs.twimg.com/media/GUB07TeaMAEr8U2?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/GUB07TeaMAEr8U2?format=jpg&name=orig""}]","iancassel","Ian Cassel","https://pbs.twimg.com/profile_images/1097867495795580928/StA4BEoF_normal.png","1819581991266001221","null","null",13,0,0,0,1,10636,false,false,false,"https://twitter.com/iancassel/status/1819582823612940650"
"1819746357948846347","2024-08-03 22:45:15 +08:00","Poor investors often disguise inexperience with arrogance. Rich investors disguise experience with humility. The richest person in the room is almost always the quietest one in the room. The poorest person in the room is almost always the loudest one in the room.","[]","iancassel","Ian Cassel","https://pbs.twimg.com/profile_images/1097867495795580928/StA4BEoF_normal.png","null","null","null",258,36,42,3,9,22420,false,false,false,"https://twitter.com/iancassel/status/1819746357948846347"
"1819756752851874281","2024-08-03 23:26:33 +08:00","RT @sidecarcap: An unusually candid conversation about what it takes to be a full time investor.\nhttps://t.co/3EypkNVAlk","[]","iancassel","Ian Cassel","https://pbs.twimg.com/profile_images/1097867495795580928/StA4BEoF_normal.png","null","1819575827962777751","null",0,12,0,0,0,"null",false,false,false,"https://twitter.com/iancassel/status/1819756752851874281"
"1819798474218668443","2024-08-04 02:12:21 +08:00","@veritasvatillum More golf https://t.co/wyi70lvnDj","[{""type"":""photo"",""url"":""https://t.co/wyi70lvnDj"",""thumbnail"":""https://pbs.twimg.com/media/GUE5D11boAACrrW?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/GUE5D11boAACrrW?format=jpg&name=orig""}]","iancassel","Ian Cassel","https://pbs.twimg.com/profile_images/1097867495795580928/StA4BEoF_normal.png","1819790598200758404","null","null",20,0,0,0,2,14209,false,false,false,"https://twitter.com/iancassel/status/1819798474218668443"
"1819830169559011733","2024-08-04 04:18:17 +08:00","@veritasvatillum Island green https://t.co/JkNBXQOKuE","[{""type"":""photo"",""url"":""https://t.co/JkNBXQOKuE"",""thumbnail"":""https://pbs.twimg.com/media/GUFV43IagAAqCUX?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/GUFV43IagAAqCUX?format=jpg&name=orig""}]","iancassel","Ian Cassel","https://pbs.twimg.com/profile_images/1097867495795580928/StA4BEoF_normal.png","1819798474218668443","null","null",17,0,0,0,4,8999,false,false,false,"https://twitter.com/iancassel/status/1819830169559011733"
"1820095485715382624","2024-08-04 21:52:34 +08:00","RT @MicroCapClub: We will be sharing some of the content from our Summit on our YouTube channel later this month. Subscribe here https://t.…","[]","iancassel","Ian Cassel","https://pbs.twimg.com/profile_images/1097867495795580928/StA4BEoF_normal.png","null","1820095311421079696","null",0,4,0,0,0,"null",false,false,false,"https://twitter.com/iancassel/status/1820095485715382624"
"1820177312006197757","2024-08-05 03:17:43 +08:00","I'm negatively biased against any new idea where I could acquire a full position in a single day. I just shut down and pass. Too many market participants. But I am self aware - yes these are the thoughts of a microcap junkie😁","[]","iancassel","Ian Cassel","https://pbs.twimg.com/profile_images/1097867495795580928/StA4BEoF_normal.png","null","null","null",103,7,8,0,9,14573,false,false,false,"https://twitter.com/iancassel/status/1820177312006197757"
"1820257918681518487","2024-08-05 08:38:01 +08:00","RT @MicroCapClub: Microcap investors reaction to Warren Buffett selling Apple https://t.co/X8zUgvH5Fu","[{""type"":""photo"",""url"":""https://t.co/X8zUgvH5Fu"",""thumbnail"":""https://pbs.twimg.com/media/GUKDIWDa4AAldc3?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/GUKDIWDa4AAldc3?format=jpg&name=orig""}]","iancassel","Ian Cassel","https://pbs.twimg.com/profile_images/1097867495795580928/StA4BEoF_normal.png","null","1820191980376494080","null",0,3,0,0,0,"null",false,false,false,"https://twitter.com/iancassel/status/1820257918681518487"
