id,created_at,full_text,media,screen_name,name,profile_image_url,in_reply_to,retweeted_status,quoted_status,favorite_count,retweet_count,bookmark_count,quote_count,reply_count,views_count,favorited,retweeted,bookmarked,url
"1701823062184788373","2023-09-13 13:00:11 +08:00","How to get rich in your 20s (realistically):","[]","GrahamStephan","Graham Stephan","https://pbs.twimg.com/profile_images/1068007184800215040/_gCkXkbQ_normal.jpg","null","null","null",997,118,755,14,68,295078,false,false,false,"https://twitter.com/GrahamStephan/status/1701823062184788373"
"1701823133265596575","2023-09-13 13:00:27 +08:00","To sum up, \n\n1. Be careful who you listen to \n2. Build your credit score\n3. Get as much job experience as possible \n4. Do something scalable \n5. Create multiple sources of income \n6.  Avoid lifestyle inflation \n7. Invest early","[]","GrahamStephan","Graham Stephan","https://pbs.twimg.com/profile_images/1068007184800215040/_gCkXkbQ_normal.jpg","1701823129671118867","null","null",157,23,15,0,3,14781,false,false,false,"https://twitter.com/GrahamStephan/status/1701823133265596575"
"1701823136180719883","2023-09-13 13:00:28 +08:00","If you found this insightful, please share it by retweeting the first tweet!\nhttps://t.co/cigk9Cl2hL","[]","GrahamStephan","Graham Stephan","https://pbs.twimg.com/profile_images/1068007184800215040/_gCkXkbQ_normal.jpg","1701823133265596575","null","1701823062184788373",24,3,0,0,2,28951,false,false,false,"https://twitter.com/GrahamStephan/status/1701823136180719883"
"1701823139187978679","2023-09-13 13:00:29 +08:00","Follow me @GrahamStephan for more interesting insights into the world of personal finance, investing, and stock market.","[]","GrahamStephan","Graham Stephan","https://pbs.twimg.com/profile_images/1068007184800215040/_gCkXkbQ_normal.jpg","1701823136180719883","null","null",14,2,0,0,3,16501,false,false,false,"https://twitter.com/GrahamStephan/status/1701823139187978679"
"1701951048766603447","2023-09-13 21:28:45 +08:00","If you had invested in Apple stock instead of buying the first iPhone, you would now have $32K worth of Apple shares. \n\nMakes you think.","[]","GrahamStephan","Graham Stephan","https://pbs.twimg.com/profile_images/1068007184800215040/_gCkXkbQ_normal.jpg","null","null","null",647,49,20,8,92,98853,false,false,false,"https://twitter.com/GrahamStephan/status/1701951048766603447"
"1701958921370431955","2023-09-13 22:00:02 +08:00","RT @GrahamStephan: How to get rich in your 20s (realistically):","[]","GrahamStephan","Graham Stephan","https://pbs.twimg.com/profile_images/1068007184800215040/_gCkXkbQ_normal.jpg","null","1701823062184788373","null",0,118,0,0,0,1,false,false,false,"https://twitter.com/GrahamStephan/status/1701958921370431955"
"1702187764731850881","2023-09-14 13:09:22 +08:00","Here's a fun fact: \n\nIf you had invested every year, now you could buy an iPhone every year just from the stock dividends.","[{""type"":""photo"",""url"":""https://t.co/WWqkI57B6T"",""thumbnail"":""https://pbs.twimg.com/media/F59iQKSbcAAM4PS?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/F59iQKSbcAAM4PS?format=jpg&name=orig""}]","GrahamStephan","Graham Stephan","https://pbs.twimg.com/profile_images/1068007184800215040/_gCkXkbQ_normal.jpg","null","null","null",132,18,21,3,13,33640,false,false,false,"https://twitter.com/GrahamStephan/status/1702187764731850881"
"1702298784108355934","2023-09-14 20:30:31 +08:00","The ability to do what you want, when you want, with who you want, for as long as you want, is priceless. \n\nIt is the highest dividend money pays. - @morganhousel","[]","GrahamStephan","Graham Stephan","https://pbs.twimg.com/profile_images/1068007184800215040/_gCkXkbQ_normal.jpg","null","null","null",127,12,3,0,10,16447,false,false,false,"https://twitter.com/GrahamStephan/status/1702298784108355934"
"1702299563993018879","2023-09-14 20:33:37 +08:00","Home buyers waiting for mortgage rates to come down... https://t.co/ODm5BKAfeX","[{""type"":""photo"",""url"":""https://t.co/ODm5BKAfeX"",""thumbnail"":""https://pbs.twimg.com/media/F5_IYItacAAkxd6?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/F5_IYItacAAkxd6?format=jpg&name=orig""}]","GrahamStephan","Graham Stephan","https://pbs.twimg.com/profile_images/1068007184800215040/_gCkXkbQ_normal.jpg","null","null","null",618,46,5,0,21,56928,false,false,false,"https://twitter.com/GrahamStephan/status/1702299563993018879"
"1702510977454117123","2023-09-15 10:33:42 +08:00","No amount of income will fix broken spending habits. https://t.co/nu5S3BJrUq","[{""type"":""photo"",""url"":""https://t.co/nu5S3BJrUq"",""thumbnail"":""https://pbs.twimg.com/media/F6CIsaibEAENIsJ?format=png&name=thumb"",""original"":""https://pbs.twimg.com/media/F6CIsaibEAENIsJ?format=png&name=orig""}]","GrahamStephan","Graham Stephan","https://pbs.twimg.com/profile_images/1068007184800215040/_gCkXkbQ_normal.jpg","null","null","null",360,42,20,1,19,29613,false,false,false,"https://twitter.com/GrahamStephan/status/1702510977454117123"
