id,created_at,full_text,media,screen_name,name,profile_image_url,in_reply_to,retweeted_status,quoted_status,favorite_count,retweet_count,bookmark_count,quote_count,reply_count,views_count,favorited,retweeted,bookmarked,url
"1492128184912859141","2022-02-11 21:27:36 +08:00","Deal closed for 5th and 6th Chaigram stores. To be operational by 1st of March. 94 more stores to go in Calcutta. If you know of any good location in Calcutta,do let me know. Also for outsiders, whenever u visit Cal,do visit any of my stores and give me your feedback. Thanks.","[]","Arunstockguru","Arun Mukherjee","https://pbs.twimg.com/profile_images/1546531389620641793/4rhJqPez_normal.jpg","null","null","1480546272276672512",33,3,0,0,5,"null",false,false,false,"https://twitter.com/Arunstockguru/status/1492128184912859141"
"1492465160547491840","2022-02-12 19:46:37 +08:00","From Sri Sri Ravishankar!!!\n\nPranayama- for Lungs\nMeditation - for Mind\nYoga- for Body\nWalking - for Heart\nGood food - for Intestines\nGood thoughts- for Soul\nGood karma - for World\n\nFrom me!!!\n\n""Good Companies: For early liberation and secured future.""","[]","Arunstockguru","Arun Mukherjee","https://pbs.twimg.com/profile_images/1546531389620641793/4rhJqPez_normal.jpg","null","null","null",99,22,7,0,1,"null",false,false,false,"https://twitter.com/Arunstockguru/status/1492465160547491840"
"1492704559021453313","2022-02-13 11:37:54 +08:00","Some 100+ baggers of last 12-15 years:-\n\n1) Bajaj Finance\n2) Caplin point\n3) Avanti feeds\n4) Relaxo footwear\n5) Astral Poly\n6) Ajanta Pharma\n7)Symphony Ltd\n8) Cera sanitary\n9) Hatsun agro\n10) NGL fine\n\nWhich will be the next set?","[]","Arunstockguru","Arun Mukherjee","https://pbs.twimg.com/profile_images/1546531389620641793/4rhJqPez_normal.jpg","null","null","null",245,30,28,2,29,"null",false,false,false,"https://twitter.com/Arunstockguru/status/1492704559021453313"
"1492734089866391552","2022-02-13 13:35:15 +08:00","HDFC Bank completed 26 years since its IPO in May 1995.\n\nWithout dividends reinvested the CAGR has been 25% .\n\nWith dividends reinvested CAGR is 30%.\n\nMax Correction been 55% . \n\nA 1 lac investment in IPO is worth 10 crs today, an awesome 1000 times.","[]","Arunstockguru","Arun Mukherjee","https://pbs.twimg.com/profile_images/1546531389620641793/4rhJqPez_normal.jpg","null","null","null",127,14,4,0,5,"null",false,false,false,"https://twitter.com/Arunstockguru/status/1492734089866391552"
"1492776896521969665","2022-02-13 16:25:21 +08:00","Investing = Giving to your Future\n\nDebt = Stealing from your Future","[]","Arunstockguru","Arun Mukherjee","https://pbs.twimg.com/profile_images/1546531389620641793/4rhJqPez_normal.jpg","null","null","null",139,16,3,0,5,"null",false,false,false,"https://twitter.com/Arunstockguru/status/1492776896521969665"
"1493067687140163584","2022-02-14 11:40:51 +08:00","Msg of the day:-\n\nIt's Feb-2032\nNifty at 33k\nSensex at 110k\nHUL -9k\nTCS -17k\nINFY -18k\nRIL -8200 (Now they are in making space shuttle)\nHappiest minds -7000,Tata ELXSI - 29000\nPetrol Rs. 407\nDiesel Rs. 580\n\nITC 210\n\nGovt extends date to link PAN with AADHAR to Sep-2032","[]","Arunstockguru","Arun Mukherjee","https://pbs.twimg.com/profile_images/1546531389620641793/4rhJqPez_normal.jpg","null","null","null",2048,174,25,24,128,"null",false,false,false,"https://twitter.com/Arunstockguru/status/1493067687140163584"
"1493105509649448960","2022-02-14 14:11:08 +08:00","Divis Labs IPO(OFS rather) came at 200crs Market Cap in 2003.\n\nMadhu Kela of Reliance MF bought 10%+ stake. Divis had 200crs turnover and today it does a Quaterly profit of excess of 900crs.\n\nDivis never raised any more money. Hats off to Entrepreneur and the stock picker.\n(R.D)","[]","Arunstockguru","Arun Mukherjee","https://pbs.twimg.com/profile_images/1546531389620641793/4rhJqPez_normal.jpg","null","null","null",118,9,1,0,2,"null",false,false,false,"https://twitter.com/Arunstockguru/status/1493105509649448960"
"1493197768180994052","2022-02-14 20:17:44 +08:00","Perfect busineses exists on Excel\nPerfect lives exist on Instagram\nPerfect PFs exist on Twitter\nPerfect careers exist on Linkedin\n\nThe real world has mistake,ugliness, heartaches,assumptions gone wrong, gigantic failures,and yes,loss.\n           \nBenchmark wisely\n(Radhika Gupta)","[]","Arunstockguru","Arun Mukherjee","https://pbs.twimg.com/profile_images/1546531389620641793/4rhJqPez_normal.jpg","null","null","null",74,13,2,0,4,"null",false,false,false,"https://twitter.com/Arunstockguru/status/1493197768180994052"
"1493235005275111424","2022-02-14 22:45:42 +08:00","Every time you reduce your expenses, you give yourself a “RAISE”\n\nEvery time you invest, you give yourself a “PROMOTION”.","[]","Arunstockguru","Arun Mukherjee","https://pbs.twimg.com/profile_images/1546531389620641793/4rhJqPez_normal.jpg","null","null","null",185,23,3,0,1,"null",false,false,false,"https://twitter.com/Arunstockguru/status/1493235005275111424"
"1493423698086227968","2022-02-15 11:15:30 +08:00","What's your stance on LIC IPO? \n\n1. Will apply. \n2..Won't apply\n3. Will wait and watch.","[]","Arunstockguru","Arun Mukherjee","https://pbs.twimg.com/profile_images/1546531389620641793/4rhJqPez_normal.jpg","null","null","null",198,14,3,1,166,"null",false,false,false,"https://twitter.com/Arunstockguru/status/1493423698086227968"
"1493454633057931264","2022-02-15 13:18:26 +08:00","""Swami Vivekananda is the greatest management guru of all past and even future times""","[]","Arunstockguru","Arun Mukherjee","https://pbs.twimg.com/profile_images/1546531389620641793/4rhJqPez_normal.jpg","null","null","null",124,6,3,0,4,"null",false,false,false,"https://twitter.com/Arunstockguru/status/1493454633057931264"
"1493498431444185088","2022-02-15 16:12:28 +08:00","Simple Life Hack for Growth:\n\nBe around people who talk about business ideas and investment opportunities.\n\nAvoid being around people who gossip about other people.","[]","Arunstockguru","Arun Mukherjee","https://pbs.twimg.com/profile_images/1546531389620641793/4rhJqPez_normal.jpg","null","null","null",87,13,5,0,2,"null",false,false,false,"https://twitter.com/Arunstockguru/status/1493498431444185088"
"1493514435905744898","2022-02-15 17:16:04 +08:00","Plan in private. \nWin in private. \nLose in private.\nMake money in private.\nLove in private.\nBe happy in private.\nLive life in private.\n\nPrivacy is power. \n\nPeople can't ruin what they don't know about.","[]","Arunstockguru","Arun Mukherjee","https://pbs.twimg.com/profile_images/1546531389620641793/4rhJqPez_normal.jpg","null","null","null",170,29,11,1,4,"null",false,false,false,"https://twitter.com/Arunstockguru/status/1493514435905744898"
"1493532783603376130","2022-02-15 18:28:58 +08:00","The best ""self made"" Indian entrepreneur undoubtedly is Sridhar vembu of Zoho \n\nZoho is bootstrapped and it makes a pat of around 2000cr \n\nSV owns 88% of it.Such a powerful Saas co wd easily attain 125-150 PE or 2 lakh crs mcap \n\nHis holding wd mean he is the 3rd richest Indian","[]","Arunstockguru","Arun Mukherjee","https://pbs.twimg.com/profile_images/1546531389620641793/4rhJqPez_normal.jpg","null","null","null",144,17,4,0,9,"null",false,false,false,"https://twitter.com/Arunstockguru/status/1493532783603376130"
"1493572549191430144","2022-02-15 21:06:59 +08:00","Most relatable quote:-\n\nBefore ipo: Promoter has vision and investor has money\n\nAfter ipo:Promoter has money and investor has vision 😂🤣","[]","Arunstockguru","Arun Mukherjee","https://pbs.twimg.com/profile_images/1546531389620641793/4rhJqPez_normal.jpg","null","null","null",174,17,3,2,1,"null",false,false,false,"https://twitter.com/Arunstockguru/status/1493572549191430144"
"1493796392329904130","2022-02-16 11:56:27 +08:00","Some life changing decisions:-\n\n1..Respecting Parents\n2.Embracing Equities early\n3.Reading 3+hours day\n4.Networking with superior guys\n5.Having small goals,fulfiling one by one\n6.Putting equal focus on Health\n7.Avoiding bad company\n8.Taking all close ones along in all my things","[]","Arunstockguru","Arun Mukherjee","https://pbs.twimg.com/profile_images/1546531389620641793/4rhJqPez_normal.jpg","null","null","null",72,10,6,0,0,"null",false,false,false,"https://twitter.com/Arunstockguru/status/1493796392329904130"
