id,created_at,full_text,media,screen_name,name,profile_image_url,in_reply_to,retweeted_status,quoted_status,favorite_count,retweet_count,bookmark_count,quote_count,reply_count,views_count,favorited,retweeted,bookmarked,url
"1717905165724860542","2023-10-27 22:04:43 +08:00","$SQ Block basically sitting at pandemic lows. \n\nThe Dorsey effect baby. https://t.co/ZVRJxrpjqT","[{""type"":""photo"",""url"":""https://t.co/ZVRJxrpjqT"",""thumbnail"":""https://pbs.twimg.com/media/F9c5ipCXsAA-Yg0?format=png&name=thumb"",""original"":""https://pbs.twimg.com/media/F9c5ipCXsAA-Yg0?format=png&name=orig""}]","InvestmentTalkk","CMac","https://pbs.twimg.com/profile_images/1813881635915337728/E9br8aOG_normal.jpg","null","null","null",61,3,1,1,13,26078,false,false,false,"https://twitter.com/InvestmentTalkk/status/1717905165724860542"
"1717965082351550915","2023-10-28 02:02:48 +08:00","This Halloween i’m going dressed as an advisor that charges 2.5% per annum for a decade of underperformance","[]","InvestmentTalkk","CMac","https://pbs.twimg.com/profile_images/1813881635915337728/E9br8aOG_normal.jpg","null","null","null",118,11,1,3,16,23674,false,false,false,"https://twitter.com/InvestmentTalkk/status/1717965082351550915"
"1718003380935688550","2023-10-28 04:34:59 +08:00","Grandad, you’ve been investing in individual stocks for nearly five decades now. \n\nYou must have destroyed the S&amp;P! \n\n https://t.co/FKcm7ptU2r","[{""type"":""video"",""url"":""https://t.co/FKcm7ptU2r"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/1717358053274857472/img/_p7lrL-6TFZ8HYl2.jpg?name=thumb"",""original"":""https://video.twimg.com/amplify_video/1717358053274857472/vid/avc1/864x720/i1IkcQ9juD3_envz.mp4?tag=14""}]","InvestmentTalkk","CMac","https://pbs.twimg.com/profile_images/1813881635915337728/E9br8aOG_normal.jpg","null","null","null",401,106,19,1,17,76911,false,false,false,"https://twitter.com/InvestmentTalkk/status/1718003380935688550"
"1719495913771860407","2023-11-01 07:25:47 +08:00","$MTCH earnings call tomorrow https://t.co/IWB40ikdGs","[{""type"":""video"",""url"":""https://t.co/IWB40ikdGs"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/1719495855898816512/img/0jX-x1XeTu5s-i1G.jpg?name=thumb"",""original"":""https://video.twimg.com/amplify_video/1719495855898816512/vid/avc1/886x482/NUgiRTuLMjf8v0tz.mp4?tag=14""}]","InvestmentTalkk","CMac","https://pbs.twimg.com/profile_images/1813881635915337728/E9br8aOG_normal.jpg","null","null","null",31,1,3,0,2,7087,false,false,false,"https://twitter.com/InvestmentTalkk/status/1719495913771860407"
"1719720580117615003","2023-11-01 22:18:31 +08:00","Feel like $MTCH is one of those ""there's no way it could go lower"", and ""downside is limited"" traps that has nuked many investors.","[]","InvestmentTalkk","CMac","https://pbs.twimg.com/profile_images/1813881635915337728/E9br8aOG_normal.jpg","null","null","1719718836541211134",39,2,3,0,10,18333,false,false,false,"https://twitter.com/InvestmentTalkk/status/1719720580117615003"
"1720418144630530207","2023-11-03 20:30:24 +08:00","Have hobbies, don’t make your portfolio your personality, don’t have a heavy news diet, stay hydrated, have other passions, exercise, touch grass now and then.","[]","InvestmentTalkk","CMac","https://pbs.twimg.com/profile_images/1813881635915337728/E9br8aOG_normal.jpg","null","null","1720414445309149348",77,2,3,0,12,17054,false,false,false,"https://twitter.com/InvestmentTalkk/status/1720418144630530207"
"1721560069731418501","2023-11-07 00:08:00 +08:00","$CMG Tiny base, but a pretty big jump in international stores at Chipotle in 2023. \n\nOnly recently has the management team communicated they will be making a concerted effort in international expansion. For years (and still is to some extent) it's been an afterthought. https://t.co/l1Nh669SOP","[{""type"":""photo"",""url"":""https://t.co/l1Nh669SOP"",""thumbnail"":""https://pbs.twimg.com/media/F-Q0e-OWMAAtxHZ?format=png&name=thumb"",""original"":""https://pbs.twimg.com/media/F-Q0e-OWMAAtxHZ?format=png&name=orig""}]","InvestmentTalkk","CMac","https://pbs.twimg.com/profile_images/1813881635915337728/E9br8aOG_normal.jpg","null","null","null",16,1,0,0,0,6555,false,false,false,"https://twitter.com/InvestmentTalkk/status/1721560069731418501"
"1721621593690877980","2023-11-07 04:12:28 +08:00","Buy stocks when they trade like they are the next Apple. \n\nSell them when they trade like they are going out of business. \n\nThis is the way.","[]","InvestmentTalkk","CMac","https://pbs.twimg.com/profile_images/1813881635915337728/E9br8aOG_normal.jpg","null","null","null",40,2,1,0,13,11519,false,false,false,"https://twitter.com/InvestmentTalkk/status/1721621593690877980"
"1723055147998146700","2023-11-11 03:08:54 +08:00","US Sectoral forward earnings multiples over the last three years. https://t.co/nQpeN0moGs","[{""type"":""photo"",""url"":""https://t.co/nQpeN0moGs"",""thumbnail"":""https://pbs.twimg.com/media/F-mFU6SWQAAOM0p?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/F-mFU6SWQAAOM0p?format=jpg&name=orig""}]","InvestmentTalkk","CMac","https://pbs.twimg.com/profile_images/1813881635915337728/E9br8aOG_normal.jpg","null","null","null",23,6,1,0,1,7562,false,false,false,"https://twitter.com/InvestmentTalkk/status/1723055147998146700"
"1723074336053948803","2023-11-11 04:25:09 +08:00","Twitter payment just landed, time to get that bread. \n\nThe bread in this economy: \n\n https://t.co/RH5e9S0sAN","[{""type"":""video"",""url"":""https://t.co/RH5e9S0sAN"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/1715205777462317056/img/vQivb2wblZNG5vBH.jpg?name=thumb"",""original"":""https://video.twimg.com/amplify_video/1715205777462317056/vid/avc1/720x1296/EttNiAJKd7WYHBqg.mp4?tag=14""}]","InvestmentTalkk","CMac","https://pbs.twimg.com/profile_images/1813881635915337728/E9br8aOG_normal.jpg","null","null","null",63,1,6,0,7,14381,false,false,false,"https://twitter.com/InvestmentTalkk/status/1723074336053948803"
