id,created_at,full_text,media,screen_name,name,profile_image_url,in_reply_to,retweeted_status,quoted_status,favorite_count,retweet_count,bookmark_count,quote_count,reply_count,views_count,favorited,retweeted,bookmarked,url
"1704616183977369795","2023-09-21 05:59:03 +08:00","Which would you rather have?\n\n• $1,000,000 given to you today\n\nOR\n\n• $10,000,000 given to you 5 years from now\n\nWhat would you choose and why?","[]","LTI_finance","Mark Wlosinski","https://pbs.twimg.com/profile_images/1634824854905167873/WlWj3EsL_normal.jpg","null","null","null",10,3,0,0,12,8102,false,false,false,"https://twitter.com/LTI_finance/status/1704616183977369795"
"1705004804601532801","2023-09-22 07:43:17 +08:00","Are we headed into another recession?\n\nMany financial experts think so…\n\nThe best thing you can do is be prepared in case they’re right.\n\nHere’s 5 ways to do that:","[]","LTI_finance","Mark Wlosinski","https://pbs.twimg.com/profile_images/1634824854905167873/WlWj3EsL_normal.jpg","null","null","null",174,32,54,2,26,98119,false,false,false,"https://twitter.com/LTI_finance/status/1705004804601532801"
"1705005063360631143","2023-09-22 07:44:19 +08:00","5. Leave emotions out of it\n\nA big part of successful money management is having emotional intelligence.\n\nEconomic downturns are scary, and uncertainty can creep in and make you question your plan.\n\nDON’T!\n\nKeep doing what you’re doing an push through. No recession lasts forever","[]","LTI_finance","Mark Wlosinski","https://pbs.twimg.com/profile_images/1634824854905167873/WlWj3EsL_normal.jpg","1705005018158641213","null","null",27,4,1,0,1,5482,false,false,false,"https://twitter.com/LTI_finance/status/1705005063360631143"
"1705005387576172843","2023-09-22 07:45:36 +08:00","No matter what the stock market or economy does, you’re in charge of your own finances.\n\nI hope these tips help you get prepared for anything that might happen.\n\nIf you found this thread helpful:\n\n• Follow me @LTI_finance \n• Like &amp; Repost\n• Subscribe\nhttps://t.co/shN80A3IuZ","[]","LTI_finance","Mark Wlosinski","https://pbs.twimg.com/profile_images/1634824854905167873/WlWj3EsL_normal.jpg","1705005063360631143","null","null",12,4,0,0,0,4885,false,false,false,"https://twitter.com/LTI_finance/status/1705005387576172843"
"1705380192129315001","2023-09-23 08:34:56 +08:00","The most valuable gift you could ever give your children is a financial education.\n\n5 graphics to help you teach your kids about money:","[]","LTI_finance","Mark Wlosinski","https://pbs.twimg.com/profile_images/1634824854905167873/WlWj3EsL_normal.jpg","null","null","null",520,98,729,7,23,219994,false,false,false,"https://twitter.com/LTI_finance/status/1705380192129315001"
"1705380281761546519","2023-09-23 08:35:18 +08:00","12 great ways to start conversations about money and personal finance https://t.co/fZTh0EBODo","[{""type"":""photo"",""url"":""https://t.co/fZTh0EBODo"",""thumbnail"":""https://pbs.twimg.com/media/F6q6U-uaUAAQbRz?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/F6q6U-uaUAAQbRz?format=jpg&name=orig""}]","LTI_finance","Mark Wlosinski","https://pbs.twimg.com/profile_images/1634824854905167873/WlWj3EsL_normal.jpg","1705380276057370795","null","null",33,4,5,0,2,5728,false,false,false,"https://twitter.com/LTI_finance/status/1705380281761546519"
"1705380284580176104","2023-09-23 08:35:18 +08:00","Teaching your kids about money and investing is one of the best ways you can help them become successful in life.\n\nFinancial literacy is key to a prosperous future!\n\nFor more money tips:\n\n• Follow @LTI_finance \n• Like &amp; Repost\n• Join my FREE newsletter\nhttps://t.co/shN80A3IuZ","[]","LTI_finance","Mark Wlosinski","https://pbs.twimg.com/profile_images/1634824854905167873/WlWj3EsL_normal.jpg","1705380281761546519","null","null",10,4,2,0,0,4955,false,false,false,"https://twitter.com/LTI_finance/status/1705380284580176104"
"1705686192589873522","2023-09-24 04:50:53 +08:00","RT @LTI_finance: The most valuable gift you could ever give your children is a financial education.\n\n5 graphics to help you teach your kids…","[]","LTI_finance","Mark Wlosinski","https://pbs.twimg.com/profile_images/1634824854905167873/WlWj3EsL_normal.jpg","null","1705380192129315001","null",0,98,0,0,0,"null",false,false,false,"https://twitter.com/LTI_finance/status/1705686192589873522"
"1705738217469960245","2023-09-24 08:17:36 +08:00","What society thinks wealth is:\n\n• Big mansions\n• Luxury cars\n• A lavish lifestyle\n\nWhat true wealth is:\n\n• Being healthy\n• A loving family\n• Financial freedom","[]","LTI_finance","Mark Wlosinski","https://pbs.twimg.com/profile_images/1634824854905167873/WlWj3EsL_normal.jpg","null","null","null",102,15,3,0,12,15698,false,false,false,"https://twitter.com/LTI_finance/status/1705738217469960245"
"1706385518257377399","2023-09-26 03:09:45 +08:00","RT @LTI_finance: Apple just announced its first major new product since 2015.\n\nIntroducing the groundbreaking AR headset ‘Apple Vision Pro’…","[{""type"":""photo"",""url"":""https://t.co/CUcoJbWJmS"",""thumbnail"":""https://pbs.twimg.com/media/Fx43vMoagAESyQQ?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/Fx43vMoagAESyQQ?format=jpg&name=orig""}]","LTI_finance","Mark Wlosinski","https://pbs.twimg.com/profile_images/1634824854905167873/WlWj3EsL_normal.jpg","null","1665830200498884608","null",0,7643,0,0,0,"null",false,false,false,"https://twitter.com/LTI_finance/status/1706385518257377399"
"1706451214983152112","2023-09-26 07:30:48 +08:00","If you could switch to 100% remote work, but had to take a $5,000 salary cut.\n\nWould you do it?","[]","LTI_finance","Mark Wlosinski","https://pbs.twimg.com/profile_images/1634824854905167873/WlWj3EsL_normal.jpg","null","null","null",490,13,11,18,277,198671,false,false,false,"https://twitter.com/LTI_finance/status/1706451214983152112"
"1706496040487264267","2023-09-26 10:28:55 +08:00","RT @LTI_finance: Are we headed into another recession?\n\nMany financial experts think so…\n\nThe best thing you can do is be prepared in case…","[]","LTI_finance","Mark Wlosinski","https://pbs.twimg.com/profile_images/1634824854905167873/WlWj3EsL_normal.jpg","null","1705004804601532801","null",0,32,0,0,0,"null",false,false,false,"https://twitter.com/LTI_finance/status/1706496040487264267"
"1706526410616312025","2023-09-26 12:29:36 +08:00","RT @LTI_finance: If you could switch to 100% remote work, but had to take a $5,000 salary cut.\n\nWould you do it?","[]","LTI_finance","Mark Wlosinski","https://pbs.twimg.com/profile_images/1634824854905167873/WlWj3EsL_normal.jpg","null","1706451214983152112","null",0,13,0,0,0,"null",false,false,false,"https://twitter.com/LTI_finance/status/1706526410616312025"
"1706826150511825011","2023-09-27 08:20:40 +08:00","Warren Buffett says that it only takes a few great investments over the course of a lifetime to become rich.\n\nHis portfolio is proof of this.\n\nLet’s look at some examples:","[]","LTI_finance","Mark Wlosinski","https://pbs.twimg.com/profile_images/1634824854905167873/WlWj3EsL_normal.jpg","null","null","null",103,15,26,0,12,45070,false,false,false,"https://twitter.com/LTI_finance/status/1706826150511825011"
"1706826357643358652","2023-09-27 08:21:29 +08:00","Although this dividend growth is very impressive, it doesn’t even take into account the gains in both stock prices.\n\nBerkshire’s Coca-Cola investment has grown from $1.3B to $25B\n\nTheir American Express investment has grown from $1.3B to $22B","[]","LTI_finance","Mark Wlosinski","https://pbs.twimg.com/profile_images/1634824854905167873/WlWj3EsL_normal.jpg","1706826319659778462","null","null",7,1,0,0,1,2616,false,false,false,"https://twitter.com/LTI_finance/status/1706826357643358652"
