id,created_at,full_text,media,screen_name,name,profile_image_url,in_reply_to,retweeted_status,quoted_status,favorite_count,retweet_count,bookmark_count,quote_count,reply_count,views_count,favorited,retweeted,bookmarked,url
"1616755701044621313","2023-01-21 19:12:51 +08:00","Just like an Entrepreneur, Investing is an isolated journey at the beginning, but you need to make sure you are not abandoned from rest of the world and caught in an echo chamber (far away from reality and caught in perception world)","[]","GunavanthVaid","Gunavanth Vaid","https://pbs.twimg.com/profile_images/1886095602443763712/Ejxen5zQ_normal.jpg","null","null","null",1061,270,457,24,117,544867,false,false,false,"https://twitter.com/GunavanthVaid/status/1616755701044621313"
"1616756676702658560","2023-01-21 19:16:44 +08:00","Humbleness to be grounded and always approach the market with folded hands. The more you are grounded, the more you fly high.Absorb the good qualities from others and eliminate the bad ones. Learn from others mistakes too along with your own.","[]","GunavanthVaid","Gunavanth Vaid","https://pbs.twimg.com/profile_images/1886095602443763712/Ejxen5zQ_normal.jpg","1616756626521985024","null","null",106,4,1,0,2,12404,false,false,false,"https://twitter.com/GunavanthVaid/status/1616756676702658560"
"1616756713461534722","2023-01-21 19:16:53 +08:00","Every successful person travels a painful journey. Suffering is an integral and essential part of any real pursuit of success. The fastest way to achieve success is to first help others succeed.","[]","GunavanthVaid","Gunavanth Vaid","https://pbs.twimg.com/profile_images/1886095602443763712/Ejxen5zQ_normal.jpg","1616756676702658560","null","null",116,7,2,0,5,15729,false,false,false,"https://twitter.com/GunavanthVaid/status/1616756713461534722"
"1616756776782934018","2023-01-21 19:17:08 +08:00","When you accept that there is no success greater than inner peace and contentment, you instantly qualify yourself for more success. Thanks for reading, hope it adds some value to your investing journey.","[]","GunavanthVaid","Gunavanth Vaid","https://pbs.twimg.com/profile_images/1886095602443763712/Ejxen5zQ_normal.jpg","1616756713461534722","null","null",199,13,5,1,17,15975,false,false,false,"https://twitter.com/GunavanthVaid/status/1616756776782934018"
"1617480488008179712","2023-01-23 19:12:54 +08:00","Investing in Micro Caps is like a student’s journey  in IIT/IIM or similar profession. Initially fees paid is very high with cash flows being negative, but few years down the line once he gets placed we see  hockey stick growth in his cash flows.","[]","GunavanthVaid","Gunavanth Vaid","https://pbs.twimg.com/profile_images/1886095602443763712/Ejxen5zQ_normal.jpg","null","null","null",196,19,17,0,8,41720,false,false,false,"https://twitter.com/GunavanthVaid/status/1617480488008179712"
"1617480623219957760","2023-01-23 19:13:26 +08:00","Similarly in Equity, We need to identify students at initial  stage of career and bet on them during the start of their journey. It doesn’t mean that all students who get admitted into IIT/IIM would turn out to be successful, but being admitted itself is a niche skill to possess","[]","GunavanthVaid","Gunavanth Vaid","https://pbs.twimg.com/profile_images/1886095602443763712/Ejxen5zQ_normal.jpg","1617480488008179712","null","null",64,2,1,0,1,8218,false,false,false,"https://twitter.com/GunavanthVaid/status/1617480623219957760"
"1617480673429958662","2023-01-23 19:13:38 +08:00","ℙ𝕖𝕠𝕡𝕝𝕖 𝕟𝕖𝕖𝕕 𝕔𝕠𝕟𝕗𝕚𝕣𝕞𝕒𝕥𝕚𝕠𝕟 𝕥𝕠 𝕓𝕖𝕝𝕚𝕖𝕧𝕖 𝕒𝕟𝕕 𝕔𝕠𝕟𝕗𝕚𝕣𝕞𝕒𝕥𝕚𝕠𝕟 𝕚𝕤 𝕧𝕖𝕣𝕪 𝕖𝕩𝕡𝕖𝕟𝕤𝕚𝕧𝕖.\n\nℍ𝕚𝕘𝕙 𝕥𝕖𝕖𝕟𝕤 ℝ𝕠𝕖 &amp; ℙ𝕠𝕤𝕚𝕥𝕚𝕧𝕖 ℂ𝕒𝕤𝕙 𝔽𝕝𝕠𝕨𝕤 𝕒𝕣𝕖 𝕕𝕖𝕣𝕚𝕧𝕒𝕥𝕚𝕧𝕖𝕤 𝕟𝕠𝕥 𝕥𝕙𝕖 𝕤𝕥𝕒𝕣𝕥𝕚𝕟𝕘 𝕡𝕠𝕚𝕟𝕥⏳","[]","GunavanthVaid","Gunavanth Vaid","https://pbs.twimg.com/profile_images/1886095602443763712/Ejxen5zQ_normal.jpg","1617480623219957760","null","null",63,6,1,0,2,7309,false,false,false,"https://twitter.com/GunavanthVaid/status/1617480673429958662"
"1618488997948579842","2023-01-26 14:00:21 +08:00","Virat Kohli had three-year century drought and made a thumping comeback with 3 centuries in 4 Games. Kamal Haasan had a rough patch for 13 years and returned with blockbuster “Vikram”. Many predicted SRK is doomed and finished, “Pathaan” delivers highest ever opening Day Ever https://t.co/BskzFwlLZr","[{""type"":""photo"",""url"":""https://t.co/BskzFwlLZr"",""thumbnail"":""https://pbs.twimg.com/media/FnYGP8WaYAA96Yo?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/FnYGP8WaYAA96Yo?format=jpg&name=orig""}]","GunavanthVaid","Gunavanth Vaid","https://pbs.twimg.com/profile_images/1886095602443763712/Ejxen5zQ_normal.jpg","null","null","null",128,6,3,3,12,32571,false,false,false,"https://twitter.com/GunavanthVaid/status/1618488997948579842"
"1618489080832233472","2023-01-26 14:00:41 +08:00","Champions keep playing until they get it right,their comeback is always powerful than the failure. Similarly in Markets, setbacks are common, one needs to be persistent and keep working hard. May the tricolor flag fly high,and our country prosper in every way.","[]","GunavanthVaid","Gunavanth Vaid","https://pbs.twimg.com/profile_images/1886095602443763712/Ejxen5zQ_normal.jpg","1618488997948579842","null","null",41,2,0,0,1,6666,false,false,false,"https://twitter.com/GunavanthVaid/status/1618489080832233472"
"1618489205373685761","2023-01-26 14:01:11 +08:00","The greatest glory in living lies not in never falling, but in rising every time we fall.”~ Nelson Mandela.  Coming Decade will be India’s comeback decade (Sone Ki Chidiya) Wishing  Happy Republic Day to Everyone🇮🇳Never forget the heroes who sacrificed their lives for the nation","[]","GunavanthVaid","Gunavanth Vaid","https://pbs.twimg.com/profile_images/1886095602443763712/Ejxen5zQ_normal.jpg","1618489080832233472","null","null",48,1,1,0,0,6121,false,false,false,"https://twitter.com/GunavanthVaid/status/1618489205373685761"
"1618937456493236226","2023-01-27 19:42:22 +08:00","Struggles are short term lessons we learn to achieve long term success. The size of our success is measured by the strength of our desire and how we handle disappointment along the way, without surrendering.","[]","GunavanthVaid","Gunavanth Vaid","https://pbs.twimg.com/profile_images/1886095602443763712/Ejxen5zQ_normal.jpg","null","null","null",65,7,4,0,2,14956,false,false,false,"https://twitter.com/GunavanthVaid/status/1618937456493236226"
"1618937629629886465","2023-01-27 19:43:03 +08:00","Leverage if at all has to be done during bad times in markets not in good times.  Risk Management has to be done from one’s own Balance Sheet not from others.\n\n Last few days event once again proved me right. ""Long term success comes from our own strength"" Believe in yourself.","[]","GunavanthVaid","Gunavanth Vaid","https://pbs.twimg.com/profile_images/1886095602443763712/Ejxen5zQ_normal.jpg","1618937456493236226","null","null",22,2,1,0,0,5472,false,false,false,"https://twitter.com/GunavanthVaid/status/1618937629629886465"
"1619197258893004801","2023-01-28 12:54:44 +08:00","Treat wealth like blood donation, the more you donate(share) the more you gain.\n\n Unfortunately we treat it as steroid , the more we earn it, the more we get addicted and the less we retain⏳","[]","GunavanthVaid","Gunavanth Vaid","https://pbs.twimg.com/profile_images/1886095602443763712/Ejxen5zQ_normal.jpg","null","null","null",149,13,2,1,8,16363,false,false,false,"https://twitter.com/GunavanthVaid/status/1619197258893004801"
