id,created_at,full_text,media,screen_name,name,profile_image_url,in_reply_to,retweeted_status,quoted_status,favorite_count,retweet_count,bookmark_count,quote_count,reply_count,views_count,favorited,retweeted,bookmarked,url
"1784557952667422748","2024-04-28 20:19:06 +08:00","New writeup on HelloFresh's Q1 ($HFG):\n\n- Strong growth in the RTE vertical\n- Reasons behind low Q1 margins\n- Why margins improve going forward\n- Details on the Q2 guidance\n\nLink in bio (free) https://t.co/vKYZsdrYMI","[{""type"":""photo"",""url"":""https://t.co/vKYZsdrYMI"",""thumbnail"":""https://pbs.twimg.com/media/GMQFUh6XUAE_ZH9?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/GMQFUh6XUAE_ZH9?format=jpg&name=orig""}]","value_invest12","Value Investigator","https://pbs.twimg.com/profile_images/932305474673954816/ztJ_7VKt_normal.jpg","null","null","null",45,0,18,0,5,13461,false,false,false,"https://twitter.com/value_invest12/status/1784557952667422748"
"1784568204573962405","2024-04-28 20:59:50 +08:00","Little highlight from the earnings call\n\nCFO was asked to compare the attractiveness of mealkit vs RTE customer. \n\nPoints all to RTE being a better business 👀 https://t.co/hX3Akhwwws","[{""type"":""photo"",""url"":""https://t.co/hX3Akhwwws"",""thumbnail"":""https://pbs.twimg.com/media/GMQPUowXUAAqWhe?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/GMQPUowXUAAqWhe?format=jpg&name=orig""}]","value_invest12","Value Investigator","https://pbs.twimg.com/profile_images/932305474673954816/ztJ_7VKt_normal.jpg","1784557952667422748","null","null",4,0,0,0,0,2387,false,false,false,"https://twitter.com/value_invest12/status/1784568204573962405"
"1784586528326357481","2024-04-28 22:12:39 +08:00","This man deserves a Nobel Price. If that doesn’t happen, it would be quite telling about the Nobel price committee.","[]","value_invest12","Value Investigator","https://pbs.twimg.com/profile_images/932305474673954816/ztJ_7VKt_normal.jpg","null","null","1784412776225706027",10,0,0,0,2,6069,false,false,false,"https://twitter.com/value_invest12/status/1784586528326357481"
"1784613528265011476","2024-04-28 23:59:56 +08:00","RT @ABZayed: I told you so","[]","value_invest12","Value Investigator","https://pbs.twimg.com/profile_images/932305474673954816/ztJ_7VKt_normal.jpg","null","1784565074964664531","null",0,11883,0,0,0,"null",false,false,false,"https://twitter.com/value_invest12/status/1784613528265011476"
"1784911534470111451","2024-04-29 19:44:06 +08:00","Share price action of an AI leader. $TSLA https://t.co/vRJzuIcJnh","[{""type"":""photo"",""url"":""https://t.co/vRJzuIcJnh"",""thumbnail"":""https://pbs.twimg.com/media/GMVHlFQXsAATavQ?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/GMVHlFQXsAATavQ?format=jpg&name=orig""}]","value_invest12","Value Investigator","https://pbs.twimg.com/profile_images/932305474673954816/ztJ_7VKt_normal.jpg","null","null","null",16,0,0,0,4,5102,false,false,false,"https://twitter.com/value_invest12/status/1784911534470111451"
"1785402986329464904","2024-05-01 04:16:57 +08:00","$Root with $15m adjusted Ebitda in Q1. \nPolicies in force up 101% year over year 👀 https://t.co/nrsg9dVdHS","[{""type"":""photo"",""url"":""https://t.co/nrsg9dVdHS"",""thumbnail"":""https://pbs.twimg.com/media/GMcGjV7WYAA4pKB?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/GMcGjV7WYAA4pKB?format=jpg&name=orig""}]","value_invest12","Value Investigator","https://pbs.twimg.com/profile_images/932305474673954816/ztJ_7VKt_normal.jpg","null","null","null",28,2,2,1,7,8632,false,false,false,"https://twitter.com/value_invest12/status/1785402986329464904"
"1785403201946009691","2024-05-01 04:17:49 +08:00","+10% AH, after it was already the only green stock today. https://t.co/Ua7UP1gm0W","[{""type"":""animated_gif"",""url"":""https://t.co/Ua7UP1gm0W"",""thumbnail"":""https://pbs.twimg.com/tweet_video_thumb/GMcGvwWW8AEMw_y.jpg?name=thumb"",""original"":""https://video.twimg.com/tweet_video/GMcGvwWW8AEMw_y.mp4"",""ext_alt_text"":""Wolf Of Wall Street The Show Goes On GIF""}]","value_invest12","Value Investigator","https://pbs.twimg.com/profile_images/932305474673954816/ztJ_7VKt_normal.jpg","1785402986329464904","null","null",3,0,0,0,0,1590,false,false,false,"https://twitter.com/value_invest12/status/1785403201946009691"
"1785405880734826719","2024-05-01 04:28:27 +08:00","After this Q1 print I’ll have to upward adjust my model. \n\nThese are pretty wild numbers. \n\nUp 20% after hours. \n\nNow $83, up from $17 at the time of my writeup 👀\n$ROOT","[]","value_invest12","Value Investigator","https://pbs.twimg.com/profile_images/932305474673954816/ztJ_7VKt_normal.jpg","null","null","1762128152594129115",37,0,6,0,6,9761,false,false,false,"https://twitter.com/value_invest12/status/1785405880734826719"
"1785407523912135035","2024-05-01 04:34:59 +08:00","Trades about 1x in force premium now. \n\nLow growth, and substantially loss-making peer Lemonade is at 1.5x. 😂","[]","value_invest12","Value Investigator","https://pbs.twimg.com/profile_images/932305474673954816/ztJ_7VKt_normal.jpg","1785405880734826719","null","null",2,0,0,2,1,1113,false,false,false,"https://twitter.com/value_invest12/status/1785407523912135035"
"1785407803688952276","2024-05-01 04:36:06 +08:00","Still ways to go. Short term, mid term, long term. More convinced than ever.","[]","value_invest12","Value Investigator","https://pbs.twimg.com/profile_images/932305474673954816/ztJ_7VKt_normal.jpg","1785407523912135035","null","null",2,0,0,0,1,2430,false,false,false,"https://twitter.com/value_invest12/status/1785407803688952276"
