id,created_at,full_text,media,screen_name,name,profile_image_url,in_reply_to,retweeted_status,quoted_status,favorite_count,retweet_count,bookmark_count,quote_count,reply_count,views_count,favorited,retweeted,bookmarked,url
"1050404797738823680","2018-10-11 23:16:34 +08:00","“If we don’t figure out how to responsibly regulate big tech, something catastrophic will happen in the next 18-24 months, then the politicians will over-react.” @MarkWarner #RightToCompete https://t.co/eVS23QOr84","[{""type"":""photo"",""url"":""https://t.co/eVS23QOr84"",""thumbnail"":""https://pbs.twimg.com/media/DpPI_slU8AY92A-?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/DpPI_slU8AY92A-?format=jpg&name=orig""}]","rossbaird","Ross Baird","https://pbs.twimg.com/profile_images/1620483933455409152/O-G0g-K5_normal.jpg","null","null","null",9,1,0,0,0,"null",false,false,false,"https://twitter.com/rossbaird/status/1050404797738823680"
"1050411344510550016","2018-10-11 23:42:34 +08:00","RT @villagecapital: ""Do we measure our economic progress by the Dow Jones Industrial Average, or by the health of small businesses across t…","[]","rossbaird","Ross Baird","https://pbs.twimg.com/profile_images/1620483933455409152/O-G0g-K5_normal.jpg","null","1050371510916009984","null",0,15,0,0,0,"null",false,false,false,"https://twitter.com/rossbaird/status/1050411344510550016"
"1050411385673388032","2018-10-11 23:42:44 +08:00","RT @openmarkets: @SECJackson points out that small businesses today have to accept the same fee from concentrated investment banks: 7 perce…","[]","rossbaird","Ross Baird","https://pbs.twimg.com/profile_images/1620483933455409152/O-G0g-K5_normal.jpg","null","1050408651469541377","null",0,1,0,0,0,"null",false,false,false,"https://twitter.com/rossbaird/status/1050411385673388032"
"1050416670148317184","2018-10-12 00:03:44 +08:00","RT @openmarkets: “This conversation has to be a part of the national conversation … so many of the challenges we are facing right now, stif…","[]","rossbaird","Ross Baird","https://pbs.twimg.com/profile_images/1620483933455409152/O-G0g-K5_normal.jpg","null","1050413166180651010","null",0,9,0,0,0,"null",false,false,false,"https://twitter.com/rossbaird/status/1050416670148317184"
"1050416670148370433","2018-10-12 00:03:44 +08:00","RT @matthewstoller: ""I've heard from contract growers who tell me they feel trapped because of all the debt they've incurred.. and they fea…","[]","rossbaird","Ross Baird","https://pbs.twimg.com/profile_images/1620483933455409152/O-G0g-K5_normal.jpg","null","1050414444772253697","null",0,8,0,0,0,"null",false,false,false,"https://twitter.com/rossbaird/status/1050416670148370433"
"1050421737995808768","2018-10-12 00:23:52 +08:00","“I believe in the free market. A market where entrepreneurs are not free to build a business is not a free market.” @corybooker #RightToCompete","[]","rossbaird","Ross Baird","https://pbs.twimg.com/profile_images/1620483933455409152/O-G0g-K5_normal.jpg","null","null","null",7,0,0,0,3,"null",false,false,false,"https://twitter.com/rossbaird/status/1050421737995808768"
"1050434413606174721","2018-10-12 01:14:14 +08:00","RT @AndyGreenSF: The nation of latte makers and latte drinkers — in 70% consumer economy you need to give folks a wage hike or the math sto…","[]","rossbaird","Ross Baird","https://pbs.twimg.com/profile_images/1620483933455409152/O-G0g-K5_normal.jpg","null","1050433446173188096","null",0,3,0,0,0,"null",false,false,false,"https://twitter.com/rossbaird/status/1050434413606174721"
"1050434508128968704","2018-10-12 01:14:37 +08:00","RT @openmarkets: .@ranaforoohar ""In terms of the fragility of labor in the gig economy, i think its a real problem, and i think there’s a r…","[]","rossbaird","Ross Baird","https://pbs.twimg.com/profile_images/1620483933455409152/O-G0g-K5_normal.jpg","null","1050434100857856001","null",0,2,0,0,0,"null",false,false,false,"https://twitter.com/rossbaird/status/1050434508128968704"
"1050439545672613888","2018-10-12 01:34:38 +08:00","RT @mattzieger: How can we address monopolistic power in our economy? @jimtankersley @stacyfmitchell @JohnLettieri @PopeNotOlivia of @villa…","[{""type"":""photo"",""url"":""https://t.co/leBTm6JI26"",""thumbnail"":""https://pbs.twimg.com/media/DpPnrOLXgAAafjl?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/DpPnrOLXgAAafjl?format=jpg&name=orig""}]","rossbaird","Ross Baird","https://pbs.twimg.com/profile_images/1620483933455409152/O-G0g-K5_normal.jpg","null","1050437871453331461","null",0,5,0,0,0,"null",false,false,false,"https://twitter.com/rossbaird/status/1050439545672613888"
"1050442140218724352","2018-10-12 01:44:57 +08:00","The most important-and destructive-change in the 20th century was a change in how our economy treated people—from free individual actors to consumers whose welfare needed to be taken care of. #RightToCompete","[]","rossbaird","Ross Baird","https://pbs.twimg.com/profile_images/1620483933455409152/O-G0g-K5_normal.jpg","null","null","null",14,6,0,0,1,"null",false,false,false,"https://twitter.com/rossbaird/status/1050442140218724352"
