id,created_at,full_text,media,screen_name,name,profile_image_url,in_reply_to,retweeted_status,quoted_status,favorite_count,retweet_count,bookmark_count,quote_count,reply_count,views_count,favorited,retweeted,bookmarked,url
"1719887650688282786","2023-11-02 09:22:24 +08:00","Learn With Me\n\nI’m often asked how I quickly synthesize information and form opinions. The value, to me, of doing this can be summarized as follows:\n\n- Be more informed about technology, markets and the economy.\n- Improve my situational awareness about trends and competitors. \n- Have a clearer picture of how a company or sector is doing over another.\n- Make better decisions.\n\nI’ve now systematized this into a product that I can share with you, to the extent you are interested.\n\nRead below for more details…\n\nThe world is complex and moves at a rapid pace. One day, climate change is all the news; the next day, it's how AI is on the verge of upending everything we know about everything; then we need to become experts in superconductors because some meaningful breakthrough may be at hand. \n\nMeanwhile, the geopolitical chaos in Europe, the Middle East, and Asia seems to be omnipresent and is constantly challenging the existing world order. Finally, we want to know what all of this means for the economy and the companies we work at or are invested in.\n\nIt’s hard to make sense of all of this, especially as the incentives of the mainstream media have become increasingly difficult to understand. So how do I form opinions? How do I learn complex topics quickly, usefully, and then fold that into a usable framework?\n\nI start with consuming content. Everything from news articles to social media to scientific papers to institutional research to YouTube videos. \n\nMost topics I skim and move onwards from, but for certain topics, where it makes sense, I write a quick 1-2 page essay because I feel it may be important. I do this so I can develop a quick point of view and understand the nuances a little bit better.\n\nWhen something seems super interesting, I select it for a dive deep with my team, where we allocate at least a month or two to thoroughly understand the key drivers and opportunities, and produce a presentation that captures everything we’ve learned.\n\nWe then take our work and review it with a set of smart people and key opinion leaders to challenge and refine our views. Historically, these work products have been very educational to me. I suspect they could be educational to others as well.\n\nSo, to this point, I have decided to share more of the work that we do at Social Capital so that if you want to, you can learn along with us.\n\nHere’s the plan:\n\n1. I’ll keep posting my daily thoughts and observations on X.\n\n2. I’ll continue to share a summary of the best content that I consumed in the previous week through my weekly newsletter ‘What I Read This Week’.\n\n3. I’ll publish 1-2 quick essays per month on X and on my weekly newsletter ‘What I Read This Week’.\n\n4. Once per month, I’ll host a Spaces to talk about the content we’ve produced, thoughts on the “current thing”, talk to guests and include time for Q&A. This will be the key feature of my Subscription on X. You can subscribe to me on X, and my first Spaces will be in November.\n\n5. Once per month, I will publish a deep dive. This will be a comprehensive slide deck on a topic with an accompanying write-up.\n\nMy Deep Dives:\n\nI've structured my deep dives around five primary themes I believe are useful for understanding the world today. These themes will change over time, but it’s important to have a starting point.\n\n1. Deep Tech: I think about “deep tech” as applying science to take things that are scarce and make them abundant, overcoming major scientific and engineering challenges. Such progress often results in significant leaps forward in our capabilities and lays the groundwork for new businesses. It's vital to track these developments to see the potential world in the next decade.\n\n2. Energy Transition: The global energy transition will reallocate trillions in capital expenditure, reorganize U.S. industry, replumb global supply chains, and more. To understand the trajectory of the world and make informed decisions about where to invest your time and efforts, a grasp on energy transition is critical.\n\n3. Healthcare & Life Sciences: Healthcare spending constitutes ~20% of U.S. GDP and shapes the primary demographic shifts influencing economic progress. For example, global GDP diminishes by ~15% due to premature deaths in the working-age population. With new technologies like MRNA and CRISPR, new drugs like GLP1s, and the challenges posed by aging, overweight or sick populations, understanding healthcare and life sciences is as important as it’s ever been.\n\n4. Economic Analysis: In 2021, we saw nearly every business model receive funding. In 2023, capital markets have been much more constrained, and many companies are struggling. Understanding how and why companies receive funding and why certain businesses are valued more than others is important for understanding how technology can be implemented in an economically productive way.\n\n5. Socio-Political Trends: This is the overlay that ties everything together, from the demographic trends that drive consumption habits, to political trends that can act as a headwind or tailwind to economic growth.\n\nI’ll be publishing our first deep dive on December 1st for free, starting with a teardown of the global energy transition. The full content calendar for the next year is outlined below, however, subscribers will be able to comment on what they want to be covered in future months. I’ll make sure to announce next month’s topic in advance so you know exactly what’s coming up.\n\nYou should expect beautifully formatted, easy to understand presentations that assume no prior knowledge, with accompanying write-ups that will get you up to speed quickly on each of these topics. \n\nIf you are interested, subscribe to my Substack (link in bio) where I will be enabling paid subscriptions in the coming month.\n\nDisclaimer: The views and opinions expressed above are current as of the date of this document and are subject to change without notice. Materials referenced above will be provided for educational purposes only. None of the above will include investment advice, a recommendation or an offer to sell, or a solicitation of an offer to buy, any securities or investment products.","[{""type"":""photo"",""url"":""https://t.co/zMfucMxOqe"",""thumbnail"":""https://pbs.twimg.com/media/F95CVI9b0AAz8ur?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/F95CVI9b0AAz8ur?format=jpg&name=orig""},{""type"":""photo"",""url"":""https://t.co/zMfucMxOqe"",""thumbnail"":""https://pbs.twimg.com/media/F95CruUaUAAz921?format=png&name=thumb"",""original"":""https://pbs.twimg.com/media/F95CruUaUAAz921?format=png&name=orig""},{""type"":""photo"",""url"":""https://t.co/zMfucMxOqe"",""thumbnail"":""https://pbs.twimg.com/media/F95DO7KakAAZIsO?format=png&name=thumb"",""original"":""https://pbs.twimg.com/media/F95DO7KakAAZIsO?format=png&name=orig""}]","chamath","Chamath Palihapitiya","https://pbs.twimg.com/profile_images/1883600182165848064/-9LbG3md_normal.jpg","null","null","null",9079,3074,8308,142,932,3920427,false,false,false,"https://twitter.com/chamath/status/1719887650688282786"
"1764468580501131412","2024-03-04 09:51:06 +08:00","A note to developers:\n\nBuilding on @GroqInc is a good way to get access to the best open models in AI, speed up your app significantly and spend less doing so. Means your money will last you longer while you search for PMF.","[]","chamath","Chamath Palihapitiya","https://pbs.twimg.com/profile_images/1883600182165848064/-9LbG3md_normal.jpg","null","null","1764055562071744515",240,28,66,0,51,227852,false,false,false,"https://twitter.com/chamath/status/1764468580501131412"
"1764720071560356208","2024-03-05 02:30:26 +08:00","Thinking out loud:\n\nWhat if $AAPL offered a massive data center complex of next gen AI hardware running every major open source foundational model and lightning fast inference to all of their developers?\n\nIt would be hugely disruptive AND could build a new line of services revenue that could grow to be huge. \n\n.@tim_cook \n\nhttps://t.co/cYohhThsCd","[]","chamath","Chamath Palihapitiya","https://pbs.twimg.com/profile_images/1883600182165848064/-9LbG3md_normal.jpg","null","null","null",981,52,143,16,178,471345,false,false,false,"https://twitter.com/chamath/status/1764720071560356208"
"1765171095303532919","2024-03-06 08:22:39 +08:00","I will be hosting a Space tomorrow at 1:30pm PT with @othman: CEO of @color, prolific investor, and former exec at Twitter and Google.\n\nWe will discuss healthcare, GenAI, his time at Twitter and Google and his observations about where they are today.\n\nhttps://t.co/h3SR87AheD","[]","chamath","Chamath Palihapitiya","https://pbs.twimg.com/profile_images/1883600182165848064/-9LbG3md_normal.jpg","null","null","null",130,20,31,2,48,108684,false,false,false,"https://twitter.com/chamath/status/1765171095303532919"
"1765491534240395378","2024-03-07 05:35:57 +08:00","https://t.co/h3SR87AheD","[]","chamath","Chamath Palihapitiya","https://pbs.twimg.com/profile_images/1883600182165848064/-9LbG3md_normal.jpg","null","null","null",108,23,120,5,98,107702,false,false,false,"https://twitter.com/chamath/status/1765491534240395378"
"1766235530726121603","2024-03-09 06:52:20 +08:00","Pod!!!","[]","chamath","Chamath Palihapitiya","https://pbs.twimg.com/profile_images/1883600182165848064/-9LbG3md_normal.jpg","null","null","1766231153801851123",741,35,35,4,72,247108,false,false,false,"https://twitter.com/chamath/status/1766235530726121603"
"1766865838697857134","2024-03-11 00:36:57 +08:00","What I Read This Week...\n\nThe state of Oregon will sign new legislation to recriminalize possession of small amounts of drugs such as fentanyl and heroin, three years after the state became the first in the U.S. to decriminalize the possession and personal use of all drugs. \n\nOpioid deaths in Oregon have tripled between 2019 and 2022, with many of the deaths attributed to the rise in fentanyl. However, under the new law, drug offenders could face up to six months in jail or elect to undergo drug treatment.","[]","chamath","Chamath Palihapitiya","https://pbs.twimg.com/profile_images/1883600182165848064/-9LbG3md_normal.jpg","null","null","null",141,16,16,2,20,66234,false,false,false,"https://twitter.com/chamath/status/1766865838697857134"
"1766865841541554682","2024-03-11 00:36:58 +08:00","February’s jobs report shows a healthy but cooling labor market. \n\nThe economy added 275,000 jobs in February, but the government said January's figures were not nearly as high as previously indicated, revising January's job gains down by 124,000 to 229,000. \n\nWhile the job gains are good news, the unemployment rate crept up by 0.2% to 3.9%, the highest it has been since early 2022.","[]","chamath","Chamath Palihapitiya","https://pbs.twimg.com/profile_images/1883600182165848064/-9LbG3md_normal.jpg","1766865840174178804","null","null",39,4,1,0,8,57017,false,false,false,"https://twitter.com/chamath/status/1766865841541554682"
"1766865843424825501","2024-03-11 00:36:58 +08:00","More below...\n\nhttps://t.co/zZwcsNsc0N","[]","chamath","Chamath Palihapitiya","https://pbs.twimg.com/profile_images/1883600182165848064/-9LbG3md_normal.jpg","1766865841541554682","null","null",23,2,3,0,7,53145,false,false,false,"https://twitter.com/chamath/status/1766865843424825501"
"1767248513900142817","2024-03-12 01:57:34 +08:00","RT @theallinpod: The Buffett Index: Why Warren Buffett might be selling more Apple soon\n\n@chamath's insight:\n\nOne way to tell if @WarrenBuf…","[{""type"":""video"",""url"":""https://t.co/ntixxO6bpA"",""thumbnail"":""https://pbs.twimg.com/ext_tw_video_thumb/1767232214134038528/pu/img/qrR6ECODKwLNrts7.jpg?name=thumb"",""original"":""https://video.twimg.com/ext_tw_video/1767232214134038528/pu/vid/hevc/720x1280/OrDd-sPMmBkb5tkc.mp4?tag=15""}]","chamath","Chamath Palihapitiya","https://pbs.twimg.com/profile_images/1883600182165848064/-9LbG3md_normal.jpg","null","1767242289267560629","null",0,6,0,0,0,1,false,false,false,"https://twitter.com/chamath/status/1767248513900142817"
"1767648097914814796","2024-03-13 04:25:22 +08:00","Come to Paris!\n\nJoin @JonathanRoss321 and I for a discussion at the @RAISESummit (https://t.co/uwSJ8ohUzZ) in Paris on April 8th as we explore the vision, innovation, and impact of Groq's journey and what it means for the future of AI and technology. https://t.co/dpUjvc6kbm","[{""type"":""photo"",""url"":""https://t.co/dpUjvc6kbm"",""thumbnail"":""https://pbs.twimg.com/media/GIfyk4LbwAAXDS5?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/GIfyk4LbwAAXDS5?format=jpg&name=orig""}]","chamath","Chamath Palihapitiya","https://pbs.twimg.com/profile_images/1883600182165848064/-9LbG3md_normal.jpg","null","null","null",236,28,25,2,48,97437,false,false,false,"https://twitter.com/chamath/status/1767648097914814796"
"1767934532819599476","2024-03-13 23:23:33 +08:00","This is 💯.","[]","chamath","Chamath Palihapitiya","https://pbs.twimg.com/profile_images/1883600182165848064/-9LbG3md_normal.jpg","null","null","null",5562,586,1916,45,156,781730,false,false,false,"https://twitter.com/chamath/status/1767934532819599476"
"1768801006203392309","2024-03-16 08:46:37 +08:00","Pod up!!!","[]","chamath","Chamath Palihapitiya","https://pbs.twimg.com/profile_images/1883600182165848064/-9LbG3md_normal.jpg","null","null","1768792354264088823",543,29,23,1,67,329288,false,false,false,"https://twitter.com/chamath/status/1768801006203392309"
"1769405195975585844","2024-03-18 00:47:27 +08:00","What I Read This Week...\n\nYoung adults in GenZ have emerged from the pandemic feeling more disillusioned than any generation before them. \n\nWhen asked about their confidence in public institutions, GenZ exhibits lower faith than older cohorts at the same points in their lives, and stands out for their pessimism and comparatively lower expectations. \n\nAccording to a 2020 study, epidemics leave a lasting impression on young people, resulting in a lack of confidence in political institutions and their leaders.","[{""type"":""photo"",""url"":""https://t.co/8ppV3YnVNe"",""thumbnail"":""https://pbs.twimg.com/media/GI4wbUnagAAW9WD?format=png&name=thumb"",""original"":""https://pbs.twimg.com/media/GI4wbUnagAAW9WD?format=png&name=orig""}]","chamath","Chamath Palihapitiya","https://pbs.twimg.com/profile_images/1883600182165848064/-9LbG3md_normal.jpg","null","null","null",130,19,31,3,22,64929,false,false,false,"https://twitter.com/chamath/status/1769405195975585844"
"1769405198924185809","2024-03-18 00:47:28 +08:00","The National Association of Realtors, an organization that has set the guidelines for home sales for decades, has agreed in a landmark deal to eliminate the standard 6% sales commission. \n\nToday, Americans pay ~$100Bn in real estate commissions annually. Housing experts believe that the deal will lead to significant savings for consumers, and could trigger one of the most significant jolts in the U.S. housing market in the past 100 years.","[]","chamath","Chamath Palihapitiya","https://pbs.twimg.com/profile_images/1883600182165848064/-9LbG3md_normal.jpg","1769405197649097158","null","null",66,7,4,2,10,54846,false,false,false,"https://twitter.com/chamath/status/1769405198924185809"
