id,created_at,full_text,media,screen_name,name,profile_image_url,in_reply_to,retweeted_status,quoted_status,favorite_count,retweet_count,bookmark_count,quote_count,reply_count,views_count,favorited,retweeted,bookmarked,url
"1583593158738612226","2022-10-22 06:56:45 +08:00","Never really got to explain my reasoning for my $SIVB short - but suffice it to say now if you marked their holdings to market their book value would be negative","[]","Citrini7","Citrini","https://pbs.twimg.com/profile_images/1875761503686582272/VhlaZoEp_normal.jpg","null","null","null",596,50,100,40,37,"null",false,false,false,"https://twitter.com/Citrini7/status/1583593158738612226"
"1646621880403542016","2023-04-14 05:10:23 +08:00","SCCO new highs, $47 to $80 so far!","[]","Citrini7","Citrini","https://pbs.twimg.com/profile_images/1875761503686582272/VhlaZoEp_normal.jpg","null","null","1584274839832961024",24,0,2,0,2,17918,false,false,false,"https://twitter.com/Citrini7/status/1646621880403542016"
"1830939732290744441","2024-09-03 20:03:44 +08:00","""There is no hedge against being wrong. If you think rates are going up when they're going down, I don't care what trade you've done, you're going to lose money.""","[]","Citrini7","Citrini","https://pbs.twimg.com/profile_images/1875761503686582272/VhlaZoEp_normal.jpg","null","null","null",234,10,15,1,14,32172,false,false,false,"https://twitter.com/Citrini7/status/1830939732290744441"
"1830939956677578961","2024-09-03 20:04:37 +08:00","again the secret to being good at this is just to accurately predict the future idk why you’re all making it so complicated","[]","Citrini7","Citrini","https://pbs.twimg.com/profile_images/1875761503686582272/VhlaZoEp_normal.jpg","1830939732290744441","null","null",120,6,3,1,8,13101,false,false,false,"https://twitter.com/Citrini7/status/1830939956677578961"
"1830942394654613940","2024-09-03 20:14:18 +08:00","Part of what we discussed in the GLP-1 primer ~13months ago was the reflexive nature of a genuinely successful weight loss drug.\n\nWe covered the idea of virality (boosted by social media) but also the concept of the devastating health effects of obesity and how this would likely be reported in mainstream media in a manner that would make GLP-1s seem like a “miracle drug”. \n\nGLP-1s can potentially cure / lower the risk of nearly everything, as long as the mechanism of doing so is “you were more prone to those bad things happening because you were fat and now that you’re less fat they are less likely to happen”.\n\nDon’t get me wrong, there’s plenty of stuff we’re finding out that GLP-1 drugs do that might work even if you’re not overweight, but 90% of the articles and data is driven by the weight normalization. Fertility? Yeah. Heart disease? You bet. Cancer? Yep.\n\nA good example of this, in the extreme sense, would be a headline like:\n\n“Ozempic cures death.”\n\nAnd then the article explains that Ozempic reduces all-cause mortality in a specific cohort. Because being obese is likely to be the reason you eventually die.\n\nPeople currently don’t realize exactly how significant of a reason it is, even if they think they do. And that was a big part of the NVO/LLY bull thesis - realizing this would result in a relentless march of positive data received well by the market. It has been one of the few places in biopharma where you could be 99% confident all of these trials (heart disease, OSA, etc ad nauseum) would meet their primary endpoint.","[]","Citrini7","Citrini","https://pbs.twimg.com/profile_images/1875761503686582272/VhlaZoEp_normal.jpg","null","null","null",118,8,30,1,9,19742,false,false,false,"https://twitter.com/Citrini7/status/1830942394654613940"
"1830971059128148365","2024-09-03 22:08:12 +08:00","Cycle accelerating https://t.co/p8Ex68bptf","[{""type"":""photo"",""url"":""https://t.co/p8Ex68bptf"",""thumbnail"":""https://pbs.twimg.com/media/GWjqeW4WYAAZeRi?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/GWjqeW4WYAAZeRi?format=jpg&name=orig""}]","Citrini7","Citrini","https://pbs.twimg.com/profile_images/1875761503686582272/VhlaZoEp_normal.jpg","null","null","1823722714085122460",404,30,20,3,11,52466,false,false,false,"https://twitter.com/Citrini7/status/1830971059128148365"
"1831050994693882056","2024-09-04 03:25:51 +08:00","portfolio is such a beautiful shade of red rn\n\n(my therapist says I have to look on the bright side of things more often)","[]","Citrini7","Citrini","https://pbs.twimg.com/profile_images/1875761503686582272/VhlaZoEp_normal.jpg","null","null","null",294,3,4,1,25,26958,false,false,false,"https://twitter.com/Citrini7/status/1831050994693882056"
"1831133250779009459","2024-09-04 08:52:42 +08:00","we’ll always have the memory of that 200 day streak without a 2%+ drawdown","[]","Citrini7","Citrini","https://pbs.twimg.com/profile_images/1875761503686582272/VhlaZoEp_normal.jpg","null","null","null",262,5,7,1,8,21220,false,false,false,"https://twitter.com/Citrini7/status/1831133250779009459"
"1831274708542636137","2024-09-04 18:14:48 +08:00","beautiful morning to get margin called, boys","[]","Citrini7","Citrini","https://pbs.twimg.com/profile_images/1875761503686582272/VhlaZoEp_normal.jpg","null","null","null",312,10,3,0,22,34653,false,false,false,"https://twitter.com/Citrini7/status/1831274708542636137"
"1831311702597750972","2024-09-04 20:41:48 +08:00","“bad news is good news” is dead.","[]","Citrini7","Citrini","https://pbs.twimg.com/profile_images/1875761503686582272/VhlaZoEp_normal.jpg","null","null","1819319511503237459",125,7,6,1,10,22428,false,false,false,"https://twitter.com/Citrini7/status/1831311702597750972"
