id,created_at,full_text,media,screen_name,name,profile_image_url,in_reply_to,retweeted_status,quoted_status,favorite_count,retweet_count,bookmark_count,quote_count,reply_count,views_count,favorited,retweeted,bookmarked,url
"1878595076542366122","2025-01-13 08:09:03 +08:00","Tom almost nailed the “it’s not about the X’s and O’s it’s about the Jimmys and Joes quote.    Nearly had it.   https://t.co/6ncFtpKEwK","[{""type"":""video"",""url"":""https://t.co/6ncFtpKEwK"",""thumbnail"":""https://pbs.twimg.com/ext_tw_video_thumb/1878594652405731328/pu/img/B7eYVX4REIbixmzJ.jpg?name=thumb"",""original"":""https://video.twimg.com/ext_tw_video/1878594652405731328/pu/vid/avc1/1280x720/qguGB6r4ysPPDQI8.mp4?tag=12""}]","stoolpresidente","Dave Portnoy","https://pbs.twimg.com/profile_images/1701621416611733504/dv0tXQbH_normal.jpg","null","null","null",1140,19,49,2,63,542824,false,false,false,"https://twitter.com/stoolpresidente/status/1878595076542366122"
"1878599477390643662","2025-01-13 08:26:32 +08:00","This is bananas  https://t.co/eylAh0yg18","[{""type"":""video"",""url"":""https://t.co/eylAh0yg18"",""thumbnail"":""https://pbs.twimg.com/media/GhIe1qnWYAA1Mkr?format=jpg&name=thumb"",""original"":""https://video.twimg.com/amplify_video/1878597866861502464/vid/avc1/1920x1080/9ZnCdf4pipoMQkBy.mp4?tag=16""}]","stoolpresidente","Dave Portnoy","https://pbs.twimg.com/profile_images/1701621416611733504/dv0tXQbH_normal.jpg","null","null","null",25751,492,1116,165,603,4232427,false,false,false,"https://twitter.com/stoolpresidente/status/1878599477390643662"
"1878601378169504051","2025-01-13 08:34:05 +08:00","That FG was worst thing that could happen to Eagles betters","[]","stoolpresidente","Dave Portnoy","https://pbs.twimg.com/profile_images/1701621416611733504/dv0tXQbH_normal.jpg","null","null","null",664,6,2,2,94,450213,false,false,false,"https://twitter.com/stoolpresidente/status/1878601378169504051"
"1878603779513430040","2025-01-13 08:43:38 +08:00","That 3rd and 19 was devastating.      Why was that so easy?  Philly -5.5","[]","stoolpresidente","Dave Portnoy","https://pbs.twimg.com/profile_images/1701621416611733504/dv0tXQbH_normal.jpg","null","null","null",397,7,4,1,80,766160,false,false,false,"https://twitter.com/stoolpresidente/status/1878603779513430040"
"1878604599084626002","2025-01-13 08:46:53 +08:00","Well played sir","[]","stoolpresidente","Dave Portnoy","https://pbs.twimg.com/profile_images/1701621416611733504/dv0tXQbH_normal.jpg","null","null","1878603779513430040",305,4,4,0,32,499780,false,false,false,"https://twitter.com/stoolpresidente/status/1878604599084626002"
"1878608117463961620","2025-01-13 09:00:52 +08:00","Michael Scott Paper Company.  #DKPartner https://t.co/bw3EYGeaeX","[{""type"":""photo"",""url"":""https://t.co/bw3EYGeaeX"",""thumbnail"":""https://pbs.twimg.com/media/GhIoH4OXQAArh9R?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/GhIoH4OXQAArh9R?format=jpg&name=orig""}]","stoolpresidente","Dave Portnoy","https://pbs.twimg.com/profile_images/1701621416611733504/dv0tXQbH_normal.jpg","null","null","null",691,12,7,5,115,397699,false,false,false,"https://twitter.com/stoolpresidente/status/1878608117463961620"
"1878609684871123066","2025-01-13 09:07:06 +08:00","This is an all time clip.  \n\n“Yes, two solariums. Quite a find. And I have horses, too! Snoopy and Prickly Pete” https://t.co/rHUehhJ1XD","[{""type"":""video"",""url"":""https://t.co/rHUehhJ1XD"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/1878609606924009472/img/9POKsoewK6ROsCMV.jpg?name=thumb"",""original"":""https://video.twimg.com/amplify_video/1878609606924009472/vid/avc1/1280x720/IwtH_FWRwfu2ZCbS.mp4?tag=16""}]","stoolpresidente","Dave Portnoy","https://pbs.twimg.com/profile_images/1701621416611733504/dv0tXQbH_normal.jpg","null","null","null",5907,248,1386,51,354,2293635,false,false,false,"https://twitter.com/stoolpresidente/status/1878609684871123066"
"1878611984956244008","2025-01-13 09:16:14 +08:00","RT @TheShredLine: Packers fans get your shreds out before the show tonight.\n\nWe’ll be taking live callers directly after Bucs/Commanders en…","[{""type"":""photo"",""url"":""https://t.co/TATfXMslga"",""thumbnail"":""https://pbs.twimg.com/media/GhIoTRxWgAAQc4b?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/GhIoTRxWgAAQc4b?format=jpg&name=orig""}]","stoolpresidente","Dave Portnoy","https://pbs.twimg.com/profile_images/1701621416611733504/dv0tXQbH_normal.jpg","null","1878608310510993662","null",0,9,0,0,0,5,false,false,false,"https://twitter.com/stoolpresidente/status/1878611984956244008"
"1878636074320429119","2025-01-13 10:51:58 +08:00","Needed that Mclaurin Td and then I’m right in this thing.  Now it’s dead","[]","stoolpresidente","Dave Portnoy","https://pbs.twimg.com/profile_images/1701621416611733504/dv0tXQbH_normal.jpg","null","null","null",671,8,4,1,84,490227,false,false,false,"https://twitter.com/stoolpresidente/status/1878636074320429119"
"1878647128337334750","2025-01-13 11:35:53 +08:00","THIS SUCKS.  4 outta 5.    😭","[]","stoolpresidente","Dave Portnoy","https://pbs.twimg.com/profile_images/1701621416611733504/dv0tXQbH_normal.jpg","null","null","1878502197668749743",942,19,7,4,164,689538,false,false,false,"https://twitter.com/stoolpresidente/status/1878647128337334750"
