id,created_at,full_text,media,screen_name,name,profile_image_url,in_reply_to,retweeted_status,quoted_status,favorite_count,retweet_count,bookmark_count,quote_count,reply_count,views_count,favorited,retweeted,bookmarked,url
"1814280532512960818","2024-07-19 20:46:01 +08:00","Using strictly companies above $50MM in assets, I don't see a new record. But importantly, we have yet to see a ""major"" bankruptcy in the financial sector as credit conditions have not yet deteriorated sharply and losses, especially in CRE, have not been recognized. The Bloomberg Bankruptcy index, which is a combination of size and number rather than ""count"" remains muted. A similar divergence opened up in 2007 as ""small"" mortgage co's and real estate developers failed before the whales.","[{""type"":""photo"",""url"":""https://t.co/0kiBKqCPwZ"",""thumbnail"":""https://pbs.twimg.com/media/GS2ee6gXIAAyWAQ?format=png&name=thumb"",""original"":""https://pbs.twimg.com/media/GS2ee6gXIAAyWAQ?format=png&name=orig""}]","profplum99","Michael Green","https://pbs.twimg.com/profile_images/1489248051810095105/38yzwTTp_normal.jpg","null","null","1814273229856342188",79,7,20,2,8,29403,false,false,false,"https://twitter.com/profplum99/status/1814280532512960818"
"1814281040334033168","2024-07-19 20:48:02 +08:00","""The rest of the world mocks you.""\n\nI certainly hope so!","[]","profplum99","Michael Green","https://pbs.twimg.com/profile_images/1489248051810095105/38yzwTTp_normal.jpg","null","null","1814066135702142990",19,0,0,0,6,18280,false,false,false,"https://twitter.com/profplum99/status/1814281040334033168"
"1814310866730270878","2024-07-19 22:46:33 +08:00","These links should now be public access if you're bored","[]","profplum99","Michael Green","https://pbs.twimg.com/profile_images/1489248051810095105/38yzwTTp_normal.jpg","null","null","1814265499187831198",19,1,18,0,8,16320,false,false,false,"https://twitter.com/profplum99/status/1814310866730270878"
"1814311376518516917","2024-07-19 22:48:35 +08:00","No, the vibecession is because they have less in real terms. https://t.co/h5tFDsGPeO","[{""type"":""photo"",""url"":""https://t.co/h5tFDsGPeO"",""thumbnail"":""https://pbs.twimg.com/media/GS26TvbWEAAB_n5?format=png&name=thumb"",""original"":""https://pbs.twimg.com/media/GS26TvbWEAAB_n5?format=png&name=orig""}]","profplum99","Michael Green","https://pbs.twimg.com/profile_images/1489248051810095105/38yzwTTp_normal.jpg","null","null","1814310429159489542",951,170,168,32,70,225278,false,false,false,"https://twitter.com/profplum99/status/1814311376518516917"
"1814325868346425384","2024-07-19 23:46:10 +08:00","Way too early to call it, but the ""rotation"" looks an awful lot like a lower high... https://t.co/LF87NVs87G","[{""type"":""photo"",""url"":""https://t.co/LF87NVs87G"",""thumbnail"":""https://pbs.twimg.com/media/GS3HmY4XUAAuP-_?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/GS3HmY4XUAAuP-_?format=jpg&name=orig""}]","profplum99","Michael Green","https://pbs.twimg.com/profile_images/1489248051810095105/38yzwTTp_normal.jpg","null","null","null",172,11,10,0,19,21256,false,false,false,"https://twitter.com/profplum99/status/1814325868346425384"
"1814327293382140196","2024-07-19 23:51:49 +08:00","Thanks @MichaelKantro... if only we could figure out what's been causing valuations to rise... must be da Fed... https://t.co/hkUUzboo6b","[{""type"":""photo"",""url"":""https://t.co/hkUUzboo6b"",""thumbnail"":""https://pbs.twimg.com/media/GS3JCYCWgAAGHXc?format=png&name=thumb"",""original"":""https://pbs.twimg.com/media/GS3JCYCWgAAGHXc?format=png&name=orig""}]","profplum99","Michael Green","https://pbs.twimg.com/profile_images/1489248051810095105/38yzwTTp_normal.jpg","null","null","null",97,6,22,0,19,21723,false,false,false,"https://twitter.com/profplum99/status/1814327293382140196"
"1814338241723863490","2024-07-20 00:35:20 +08:00","For all the ""too many US bonds"" narratives, there's the cold, hard reality that US global bond market share is flat for the past 20 years... and allocations to bonds higher ROW than US (which is at 20 year lows) https://t.co/NeYARNogaf","[{""type"":""photo"",""url"":""https://t.co/NeYARNogaf"",""thumbnail"":""https://pbs.twimg.com/media/GS3SsQOXsAoDW4X?format=png&name=thumb"",""original"":""https://pbs.twimg.com/media/GS3SsQOXsAoDW4X?format=png&name=orig""},{""type"":""photo"",""url"":""https://t.co/NeYARNogaf"",""thumbnail"":""https://pbs.twimg.com/media/GS3S9EYXsAcnNCC?format=png&name=thumb"",""original"":""https://pbs.twimg.com/media/GS3S9EYXsAcnNCC?format=png&name=orig""}]","profplum99","Michael Green","https://pbs.twimg.com/profile_images/1489248051810095105/38yzwTTp_normal.jpg","null","null","1814332369878622716",84,16,26,4,17,26873,false,false,false,"https://twitter.com/profplum99/status/1814338241723863490"
"1814354935841964439","2024-07-20 01:41:40 +08:00","Never OVERsimplify... just @SimplifyAsstMgt","[]","profplum99","Michael Green","https://pbs.twimg.com/profile_images/1489248051810095105/38yzwTTp_normal.jpg","null","null","1814354110738772304",12,0,3,0,4,18567,false,false,false,"https://twitter.com/profplum99/status/1814354935841964439"
"1814391588329796085","2024-07-20 04:07:19 +08:00","Lots of weekly candles... see ewe next week! https://t.co/xyASlMWgTZ","[{""type"":""photo"",""url"":""https://t.co/xyASlMWgTZ"",""thumbnail"":""https://pbs.twimg.com/media/GS4Dgy1WoAAsw6E?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/GS4Dgy1WoAAsw6E?format=jpg&name=orig""}]","profplum99","Michael Green","https://pbs.twimg.com/profile_images/1489248051810095105/38yzwTTp_normal.jpg","null","null","null",34,2,2,1,6,14996,false,false,false,"https://twitter.com/profplum99/status/1814391588329796085"
"1814417420494557342","2024-07-20 05:49:57 +08:00","FreeeeDOM!!!!","[]","profplum99","Michael Green","https://pbs.twimg.com/profile_images/1489248051810095105/38yzwTTp_normal.jpg","null","null","1814328819685232675",47,2,2,0,15,24340,false,false,false,"https://twitter.com/profplum99/status/1814417420494557342"
"1815010630861984162","2024-07-21 21:07:10 +08:00","Stellar talk from @EpsilonTheory \n\nRediscovering our name in a world of AI","[]","profplum99","Michael Green","https://pbs.twimg.com/profile_images/1489248051810095105/38yzwTTp_normal.jpg","null","null","1814661216528138668",57,3,25,0,7,33996,false,false,false,"https://twitter.com/profplum99/status/1815010630861984162"
"1815014166337360040","2024-07-21 21:21:13 +08:00","“Restaurant bookings remain strong”\n\nONLINE restaurant booking at 2019 levels with an aging (rising tech utilization across population) and rising population is STRONG? https://t.co/IhKbrrVr1P","[{""type"":""photo"",""url"":""https://t.co/IhKbrrVr1P"",""thumbnail"":""https://pbs.twimg.com/media/GTA5wzGWUAEtgxq?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/GTA5wzGWUAEtgxq?format=jpg&name=orig""}]","profplum99","Michael Green","https://pbs.twimg.com/profile_images/1489248051810095105/38yzwTTp_normal.jpg","null","null","1814708901780107331",98,4,12,1,22,31251,false,false,false,"https://twitter.com/profplum99/status/1815014166337360040"
"1815014349796204804","2024-07-21 21:21:56 +08:00","Calling bullshit on copper shortages and China reopening in one chart…","[]","profplum99","Michael Green","https://pbs.twimg.com/profile_images/1489248051810095105/38yzwTTp_normal.jpg","null","null","1815003148525662673",129,9,10,1,18,32004,false,false,false,"https://twitter.com/profplum99/status/1815014349796204804"
"1815028313649221804","2024-07-21 22:17:26 +08:00","How is this guy still on this platform @X ? https://t.co/nxCfBHvoNa","[{""type"":""photo"",""url"":""https://t.co/nxCfBHvoNa"",""thumbnail"":""https://pbs.twimg.com/media/GTBGodwXgAEHhzx?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/GTBGodwXgAEHhzx?format=jpg&name=orig""}]","profplum99","Michael Green","https://pbs.twimg.com/profile_images/1489248051810095105/38yzwTTp_normal.jpg","null","null","null",38,0,2,0,15,14088,false,false,false,"https://twitter.com/profplum99/status/1815028313649221804"
"1815353736966861307","2024-07-22 19:50:33 +08:00","Or, and hear me out, just play it safe and dollar cost average into the S&amp;P500 -- it's the best /s","[]","profplum99","Michael Green","https://pbs.twimg.com/profile_images/1489248051810095105/38yzwTTp_normal.jpg","null","null","1815335782175088817",80,3,12,0,15,30902,false,false,false,"https://twitter.com/profplum99/status/1815353736966861307"
"1815360496704405988","2024-07-22 20:17:24 +08:00","Unsurprising how quickly the media has moved from Biden criticism to Biden praise for ""the discipline"" to put country over self.\n\nShame we weren't able to hear about his monumental sacrifice from his own mouth...","[]","profplum99","Michael Green","https://pbs.twimg.com/profile_images/1489248051810095105/38yzwTTp_normal.jpg","null","null","null",381,21,6,2,42,27189,false,false,false,"https://twitter.com/profplum99/status/1815360496704405988"
"1815369693760233891","2024-07-22 20:53:57 +08:00","Spot the influence of institutional flow into a ""new"" asset class (commodities in 2005)... and now tell me about private credit... \n\nAlso pretty big divergence from Chicago Fed https://t.co/5NzyGT7zpd","[{""type"":""photo"",""url"":""https://t.co/5NzyGT7zpd"",""thumbnail"":""https://pbs.twimg.com/media/GTF9CqIWUAAWpMs?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/GTF9CqIWUAAWpMs?format=jpg&name=orig""}]","profplum99","Michael Green","https://pbs.twimg.com/profile_images/1489248051810095105/38yzwTTp_normal.jpg","null","null","null",55,8,11,1,5,15037,false,false,false,"https://twitter.com/profplum99/status/1815369693760233891"
"1815391976138629585","2024-07-22 22:22:30 +08:00","A further devastating blow to UBI. You know what works? Jobs:\n\n“Prevalences of fair or poor self-rated health, poor physical and mental health, obesity, and 10 chronic health conditions increased from the short-term unemployed to the long-term unemployed and were highest among those unable to work.”","[]","profplum99","Michael Green","https://pbs.twimg.com/profile_images/1489248051810095105/38yzwTTp_normal.jpg","null","null","1815372032621879628",138,11,31,0,26,39061,false,false,false,"https://twitter.com/profplum99/status/1815391976138629585"
"1815742554945507595","2024-07-23 21:35:34 +08:00","Bullish interpretation, @wabuffo ?","[]","profplum99","Michael Green","https://pbs.twimg.com/profile_images/1489248051810095105/38yzwTTp_normal.jpg","null","null","1815742265916064158",63,8,7,2,10,26766,false,false,false,"https://twitter.com/profplum99/status/1815742554945507595"
