id,created_at,full_text,media,screen_name,name,profile_image_url,in_reply_to,retweeted_status,quoted_status,favorite_count,retweet_count,bookmark_count,quote_count,reply_count,views_count,favorited,retweeted,bookmarked,url
"1795568841411752415","2024-05-29 05:32:26 +08:00","RT @TAGexBrands: It's PART TWO of #ShermsTake5 with @jonathanmaze. Jonathan is a longtime industry journalist who writes about all things r…","[{""type"":""video"",""url"":""https://t.co/S6U4mjDzeL"",""thumbnail"":""https://pbs.twimg.com/ext_tw_video_thumb/1795566828237795328/pu/img/hpsXQYcV4vg5Fype.jpg?name=thumb"",""original"":""https://video.twimg.com/ext_tw_video/1795566828237795328/pu/vid/avc1/720x1280/VI-enMBr_2JMN7mn.mp4?tag=12""}]","jonathanmaze","Jonathan Maze","https://pbs.twimg.com/profile_images/1485109076451373056/V6exae5c_normal.jpg","null","1795567081787977925","null",0,1,0,0,0,"null",false,false,false,"https://twitter.com/jonathanmaze/status/1795568841411752415"
"1795596269404266908","2024-05-29 07:21:25 +08:00","Grey duck FTW.","[]","jonathanmaze","Jonathan Maze","https://pbs.twimg.com/profile_images/1485109076451373056/V6exae5c_normal.jpg","null","null","1795570768346312846",2,0,0,0,0,2148,false,false,false,"https://twitter.com/jonathanmaze/status/1795596269404266908"
"1795778022055809187","2024-05-29 19:23:39 +08:00","“I just had to watch this man eat plates upon plates of Scampi.” https://t.co/UyzgCZFTuo","[]","jonathanmaze","Jonathan Maze","https://pbs.twimg.com/profile_images/1485109076451373056/V6exae5c_normal.jpg","null","null","null",9,0,0,1,1,1723,false,false,false,"https://twitter.com/jonathanmaze/status/1795778022055809187"
"1795888398118375616","2024-05-30 02:42:14 +08:00","McDonald’s with a rare public comment featuring average pricing data amid what it says is inaccurate information about the price of a Big Mac. $MCD\n\nhttps://t.co/DiC0sd84jx","[]","jonathanmaze","Jonathan Maze","https://pbs.twimg.com/profile_images/1485109076451373056/V6exae5c_normal.jpg","null","null","null",33,9,3,0,2,6617,false,false,false,"https://twitter.com/jonathanmaze/status/1795888398118375616"
"1795896478885417307","2024-05-30 03:14:21 +08:00","My podcast editor is threatening to use filters on my next episodes called ""deathly ill"" or ""dark lord."" Note to self: Never mess with the podcast editor.","[]","jonathanmaze","Jonathan Maze","https://pbs.twimg.com/profile_images/1485109076451373056/V6exae5c_normal.jpg","null","null","null",18,0,0,1,2,2189,false,false,false,"https://twitter.com/jonathanmaze/status/1795896478885417307"
"1795915880301248984","2024-05-30 04:31:27 +08:00","Oh hey look what just came in the mail. https://t.co/Rh3pd63sGL","[{""type"":""photo"",""url"":""https://t.co/Rh3pd63sGL"",""thumbnail"":""https://pbs.twimg.com/media/GOxf-OYXkAAFVZp?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/GOxf-OYXkAAFVZp?format=jpg&name=orig""}]","jonathanmaze","Jonathan Maze","https://pbs.twimg.com/profile_images/1485109076451373056/V6exae5c_normal.jpg","null","null","null",19,1,0,2,4,5944,false,false,false,"https://twitter.com/jonathanmaze/status/1795915880301248984"
"1796159137899815417","2024-05-30 20:38:04 +08:00","Not quite sure I've ever seen something like this but shows how serious McDonald's is taking the data behind that particular story.\n\nAlso it'd be hilarious if McFranchisee were actually Gonda.","[]","jonathanmaze","Jonathan Maze","https://pbs.twimg.com/profile_images/1485109076451373056/V6exae5c_normal.jpg","null","null","1796156193854877906",14,2,4,1,1,28740,false,false,false,"https://twitter.com/jonathanmaze/status/1796159137899815417"
"1796160291950022938","2024-05-30 20:42:39 +08:00","The world's two biggest restaurant chains are dealing with some real demons right now.\n\nMcDonald's: Symbol of fast-food inflation, misleading pricing data, etc.\n\nStarbucks: Operations issues, boycotts, union stuff, etc. \n\n$MCD $SBUX","[]","jonathanmaze","Jonathan Maze","https://pbs.twimg.com/profile_images/1485109076451373056/V6exae5c_normal.jpg","null","null","null",38,3,4,0,4,6685,false,false,false,"https://twitter.com/jonathanmaze/status/1796160291950022938"
"1796295695470838065","2024-05-31 05:40:42 +08:00","Brilliantly timed release of news today by BurgerFi, which had to seek some temporary assistance from lenders, replaced its chairman and is now exploring strategic alternatives. $BFI\n\nhttps://t.co/9RozCl8qps","[]","jonathanmaze","Jonathan Maze","https://pbs.twimg.com/profile_images/1485109076451373056/V6exae5c_normal.jpg","null","null","null",22,0,1,0,3,2956,false,false,false,"https://twitter.com/jonathanmaze/status/1796295695470838065"
"1796298450268532979","2024-05-31 05:51:38 +08:00","Thank God.","[]","jonathanmaze","Jonathan Maze","https://pbs.twimg.com/profile_images/1485109076451373056/V6exae5c_normal.jpg","null","null","1796297084691431661",105,8,2,0,2,16712,false,false,false,"https://twitter.com/jonathanmaze/status/1796298450268532979"
"1796613244875837601","2024-06-01 02:42:31 +08:00","The deals are on the app ...","[]","jonathanmaze","Jonathan Maze","https://pbs.twimg.com/profile_images/1485109076451373056/V6exae5c_normal.jpg","null","null","1796598975270928611",13,2,1,0,5,3965,false,false,false,"https://twitter.com/jonathanmaze/status/1796613244875837601"
"1796634394779627827","2024-06-01 04:06:34 +08:00","The 2024 official fast food restaurant industry motto: https://t.co/3fKGp2Djoy","[{""type"":""photo"",""url"":""https://t.co/3fKGp2Djoy"",""thumbnail"":""https://pbs.twimg.com/media/GO7tdULXkAAfB4f?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/GO7tdULXkAAfB4f?format=jpg&name=orig""}]","jonathanmaze","Jonathan Maze","https://pbs.twimg.com/profile_images/1485109076451373056/V6exae5c_normal.jpg","null","null","null",45,4,3,0,5,4499,false,false,false,"https://twitter.com/jonathanmaze/status/1796634394779627827"
"1796661305757114703","2024-06-01 05:53:30 +08:00","Getting questions about stories I wrote a decade ago. Man I can't remember what kind of cereal I had for breakfast this morning don't make me think back that far.","[]","jonathanmaze","Jonathan Maze","https://pbs.twimg.com/profile_images/1485109076451373056/V6exae5c_normal.jpg","null","null","null",16,1,0,0,2,2069,false,false,false,"https://twitter.com/jonathanmaze/status/1796661305757114703"
